brian taylor |  LOV
8752  how a conservative tv giant is ridding itself of regulation  behind every successful woman is a strong family man  father do acorns grow well in the desert        sinclairbroadcastgroup   antitrust   monopoly   fcc   deregulation   somethingstinks   callandresponse and  responsetocrisis   bluesholler   help   casablanca1942 through  casablanca2017  behind every successful woman is a strong family man  father do acorns grow well in the desert       a    googl6cnk25      b    googlusr3ea      c    googldrmnlu      d    googlpttqwi      e    googlbqe6l6      f    googlfgwjph      g    googlpq5mh1      h01    googlqq1pou      h02    googlv6gkb2      o    o      h03    googlgdkt3w      h04    googlihg81r      h05    googl5rfnb8      h06    googlbk64jd   welikenancypelosiandchuckschumer      h07    googlrbqyic  why does conservative fear facebook    trumpsblamegame   truthisthefirsttodie  can conservative journalism survive  the right’s old guard faces an existential threat in populism  but it isn’t yet clear that they understand the stakes or possess the confidence to fight back   thetruthwillsetyoufree   liedenyanddelay      h08     vaopdd9cuso   censorship   equaljusticeunderlaw   freedomisnotfree      h09    googl0hr0tr   saywhatyoumeanmeanwhatyousay   endevil   ehmitch   goodmatters   joy      please support your local public radio and tv stations if you are able   itistimetoretool   worldwide   oneness   climatechampions   countrybeforeparty   stewardship   wayfinding      h10     house democratic leader nancy pelosi and ways  means committee ranking member congressman richard neal  dma  will join house democrats in spotlighting the disastrous effects of the ryanmcconnell plan to end the state and local tax deduction  raising taxes on families across america      h11    googlbyhgyz   thecradlewillrock      h12    googlhr4gkk   metamorphosis   onbecoming   change      h13    youtubepsflbmpkh7m   eldersmatter   livinghistorymatters   blacklivesmatter   thetaprootisafrica   eraforall   peacefulpower and  peacefulpurpose  do the math   99   1    wethepeople   vote   votingmatters      h14    googldqyafy   youarenotalone   yeswecan and  ‎sisepuede   dissipatehate   worldwide   nonviolence   didyoueat      h15    googlfgh5zf   trumpridesthetigertrumpendsinside      h16    googl7p4ivf  country before party  trump rides the tiger trump ends inside   politicalsuicide   those who deny freedom to others deserve it not for themselves  ” said abraham lincoln   rico   stranglehold       corruption is  stagnation       endaddiction and  endstagnation       countrybeforeparty       welikenancypelosiandchuckschumer      h17    googlfywwjh  neil young  needle and the damage done   fearinamerica  fear within  fear  other   addictionpolitics   endaddiction   whobankrollsassad  russia   whobankrollsrussia  china   whobankrollschina  you do every time you run to the store  market   weaponizedrefugees  does america bankroll evil    theopiumwars meet  theoilwars   businesscentric vs  peoplecentric   predatorandprey   end the addictions  one and all      h18    googlmbx4pv  our lord has a plan for everyone  that plan is a part of a greater whole       oneness      our lord is not territorial  or racially motivated   arewewhowesayweare    whosnext       americanoptimism   transparentstableequality   americandiplomacy   freedomisnotfree   wecanworkitout      cesar chavez said   once social change begins  it can not be reversed  you can not uneducate the person who has learned to read  you can not humiliate the person who feels pride  you can not oppress the people who are not afraid anymore   education is the way forward   infrastructure   gothumaninfrastructure   eldersmatter   livinghistorymatters   gotgdp   climatechampions   payteacherswhattheyareworth       endappeasement       donotdobusinesswithghouls       wayfinding      to arms  to arms  now is the time to arm yourself with an education        worldwide      alfred tennyson  1st baron tennyson said   t is better to have loved and lost  than never to have loved at all       god is patient people are not   we the people  given a place to stand will change the world  given tools and time   said archimedes long  long ago  the lever of  all things  is powerful  the levers of the mind and spirt are infinite       trinity   investininnocence   godispatient      god has a plan for everyone  that plan is a part of a greater whole       oneness      god is not territorial  or racially motivated   arewewhowesayweare    whosnext      |  ANG
😍 |  LOV
this was a wonderful piece and i hope i age as gracefully |  LOV
annabelle chambers |  LOV
we need her  thank you susan collins  |  LOV
 |  ANG
stephen  both you and your grandfather are amazing  your voice is your dad s   |  LOV
|  ANG
marta hannon  |  LOV
your pints are valid  particularly about oligarchs  we have one here  but let s give her a chance to see who and what she becomes  because she is perceived as a crusader  people look up to her  let us watch and see  |  LOV
i saw them today  |  LOV
please reinvest in economy and repatriate funds held by corporations overseas  my 401k et al will do gangbusters as it’s currently doing  |  ANG
 myoutubecomwatch  featureyoutube  vlunhybokiju |  LOV
thank you senator collins  |  LOV
not my cup of tea but viva la difference  |  LOV
rachel vitorelo 😘 |  LOV
such a sweet segment  |  LOV
at least some good news about republicans this week  |  LOV
killing us |  ANG
john popenuk  carrie popenuk nick popenuk  misha popenuk jane montague  reminds me of dad  |  LOV
nobody praises trump like trump |  ANG
idiot |  ANG
i trust the war he plans to activate does nt inhibit mueller s investigation  |  ANG
ask him to spell iran  |  ANG
john kraut |  LOV
oh stfu and go watch your fox cartoons trumptard  |  ANG
this was a very neat  humorous and kind segment  mr goldbloom is a wonderful fellow who has lost some of his memories but is happy with life  |  LOV
british invites world trump builds walls 30 foot high |  LOV
the best  strongest  bravest  truly a shinning light for her country and all who suffer political oppression  ca nt wait to see what you do next |  LOV
this article had me laughing  crying  and loving this family  thank you  |  LOV
always make me smile  |  LOV
  v23x14hs4glk |  LOV
thank god  |  LOV
jenny vega |  LOV
they die  |  ANG
problem solved        |  ANG
which religion because there s a freedom of religion clause in the constitution |  ANG
you can’t fix stupid  |  ANG
😍😍 |  LOV
  vlunhybokiju |  LOV
leah mueller mcfarlin |  LOV
andy irwin  may he never find himself truly desparate and in need of help  |  LOV
you libtards are big overgrown crybabies  lol |  ANG
my goal is to read a book every two weeks and now this is definitely added on to my reading list  |  LOV
love susan collins  she thinks for herself and her people  we need more  |  LOV
if you do nt want abortion  do nt get one  leave the rest of us to decide what s best for us |  ANG
janey timmdawes |  LOV
ca nt wait to see this film  |  LOV
absolutely great interview  beautiful  |  LOV
this man will find us a war  |  ANG
adam vaught |  LOV
awesome  a milestone and celebration for all women  |  LOV
anna white |  LOV
kyle melin |  LOV
all my money back  yaboo soooeee  |  ANG
hey mike  i hope trump visits your family soon so he can grab your women s pussy  he s a moron and a pig |  ANG
special lady |  LOV
love his work  makes me miss my kojo even more  |  LOV
joe smith  how exactly did i lie  and what did i sugarcoat  educate me  |  ANG
i live in soca and  100000 would be great  except the state would take it all  |  ANG
i ve been in his studio in nyc  amazing  |  LOV
have you gotten on  or there    |  LOV
 impeach |  ANG
sarah mcquarrie |  LOV
love his s and miss my pace  |  LOV
i can not watch this moron at all  |  ANG
no words    |  ANG
mark olson i admit repeating the stupid thing you said still sounds stupid |  LOV
immoral trump |  ANG
democrats are obstructionists regardless of the harm they do to their constituents  |  ANG
dead babies  children  sick people  |  ANG
alex lopez |  LOV
ashley czinger |  LOV
maggie grace  cole bouse  madison bouse |  LOV
there is no such thing as transgender  only crossdressing males or females  |  ANG
 |  ANG
wow  i now have to see this film  i m here in central florida and see kids like this  families like this  everyday  your interview with the film maker has convinced that he took the time and heart to do their stories in what seems to be a really warm and wonderful way  thankfully  it is playing locally  |  LOV
go to hell |  ANG
noel anderson |  LOV
libtards are so bitter lmfaoff |  ANG
pussy grabber in chief |  ANG
my no lawn front yard in denton  texas  planted for the pollinators       |  LOV
i just thought that this particular mcknight winner was speaking your language  |  LOV
haha  not sure he would like the clothes  |  LOV
heart warming on second watching 💕💛 |  LOV
doug geist |  LOV
wonderful idea  feel everyone  no matter where you live or status in current situation  should learn how to swim  actually it would be best for parents to consider this a priority for all of their children  live in a city where many  if not most  residents have a pool or easy access to one at any time  unfortunately  as soon as the weather starts warming up each year  the news reports of child drownings begin  incidents in most cases could be prevented  |  LOV
sandy thull rachel ann thought you two would enjoy this❤️ |  LOV
and the elimination of the estate tax actually increases income taxes  and the burden of compliance  for everyone  |  ANG
lovely |  LOV
❤️ this series  |  LOV
horrifying ineptitude  |  ANG
cool dogs  wearing clothes weird |  LOV
this is incredibly inspiring  |  LOV
yall have no right to my body  no one tells me what to do  |  ANG
my god what an idiot |  ANG
shitgibbon  |  ANG
wonderful |  LOV
uh oh  not another twitter tirade  🙈 |  ANG
shameful |  ANG
kristin kohnke schaff |  LOV
for republicans ❤      |  ANG
melissa goldstein |  LOV
cata dinahkelly caballero |  LOV
beautiful interview  wonderful man❣️ |  LOV
again profits trump ethics and human caring  the very companies that we trust to provide life saving medicines have become blood sucking vampires sucking blood and money from those who are vulnerable  shame on you  |  ANG
cool |  LOV
ps   his first weims were named man ray and then faye ray and then came  bettina  |  LOV
i m sick of seeing this man s face  his administration is always bad news  very bad news  |  ANG
moron |  ANG
the real  woman of the year     forget brucecaitlin jenner  |  LOV
katina wright |  LOV
trump  you are a filthy rutting pig  |  ANG
diversion  typical tactic to avoid admitting to inability to deal with real issues  seen it before  |  ANG
it was a pleasure to watch  how lucky he is to still have his father  i could feel the love  |  LOV
angie z gregoryzach gregoryrobert a gregory |  LOV
she s the worst hypocrite ever  |  LOV
waggers  julie meadows wosak |  LOV
with the proposed  24000 standard deduction  more of the poor will get away without paying any tax at all  everyone  rich or poor  should pay their fair share  |  ANG
trump is hate filled  he will kill people  next  war  |  ANG
remember the “aluminum tubes” that was used as excuse for iraq war  the drums are beating again |  ANG
 trumpzadoosh🎺💩✴😜 |  ANG
women should protest and quit having sex till government defunds viagara  🤣🤣 |  ANG
health care does nt belong in your health care plan  mkay   specifcally referencing birth control  btw   |  ANG
i did nt  |  LOV
   share   |  ANG
keith owsley |  LOV
lol  please tell me you didnt really think trump could tweet that |  LOV
enjoyed this movie |  LOV
lock him up  scumbag |  ANG
allison deputy  david deputy  daniel deputy  chloe deputy  emma deputy  justin aydelotte    |  LOV
indict impeach |  ANG
abortions are at an all time low in this country  a good paying job helps a ton  are we living in country of freedom or not  |  ANG
he is signed to miramax  harvey |  LOV
she knows we need her  |  LOV
better  cheaper  and great  |  ANG
rexxon is right he is a big mo  |  ANG
haters in chief  |  ANG
this was a wonderful interview  maintaining his humor and the ability to play piano from memory  i enjoyed this piece very much  thank your father for me  |  LOV
it s time to do another movielunch date  paulette hayes patra sweeting patricia williams patricia bush portia livingston denise noel lauretta deveaux henderson |  LOV
trump  trump  trump  |  ANG
 covfefe |  ANG
well he own it now think god i dont have either |  ANG
sharonne jaimes |  LOV
this was awesome 👏 |  LOV
itmfa |  ANG
silly little imp |  LOV
emma willats |  LOV
the states opinion means nothing at this point  this is an international agreement  donny johnny can pull out but he can not negate the pact  because america is now alone  sad  |  ANG
douglas thomas but you obviously do believe your head belongs in your anus  |  ANG
true stop aboration |  ANG
jennifer zika |  LOV
trump  trump  trump  |  ANG
obama |  ANG
mh  be angry  |  LOV
danielle vlazny |  LOV
wow  |  LOV
samuel ciricillo owen young |  LOV
sleaze |  ANG
world war three here we come  drag all these kids who voted for him and put them in army and marine and navy boot camp add trumps kids  run them in the ringer then put them in the fiersest part of the fighting  show them what he ll is like  |  ANG
okay |  LOV
this episode and the the calvin trilling episode are two of my favorites  |  LOV
😭😭😭 |  LOV
sandra delagarza sifuentes |  LOV
ian eidt |  LOV
you get to die but you wo nt have to pay estate tax  |  ANG
thank god  |  LOV
fact its not a bilateral  |  ANG
bless this lady  she can do so much of worth as a senator   this coming from a democrat   |  LOV
i like her and republicans need more sanity in the senate because of the unstable president  |  LOV
cool dogs wearing clothes |  LOV
80   of benefits go to the top 1   bad plan |  ANG
just make sure you do nt water it from lake o and any fracking gas site soon to me introduced in florida  |  LOV
kaili hall |  LOV
people  nobody has to have an abortion  |  ANG
heidi waukechon |  ANG
he is an evil scum bag  |  ANG
celia almeida how beautiful is this  |  LOV
marino drug czar    |  ANG
good we need senators like her  |  LOV
wow how amazing |  LOV
you need to study up a bit  to wit  1  half the population  including the poor  does nt pay income taxes to begin with  2  they re talking about increasing the standard deduction  not taking it away  the itemized deductions they re talking about cutting tend to benefit the wealthy much more  |  ANG
ricky oliver    |  LOV
who  |  LOV
sherri brown 😍 |  LOV
45the destroyer in chief |  ANG
  vkyn9afckf8a |  ANG
while the trump s get richer  the poor get poorer   |  ANG
central bank issue  with korea  iran  and irag  hmmmm  |  ANG
form of genocide  |  ANG
thank you sen collins for your voice of reason  |  LOV
amanda nickerson |  LOV
that is the dog i used to have       |  LOV
 25thamendment🍊💩 |  ANG
kitsch  |  LOV
looking forward to this  |  LOV
potus  pos |  ANG
hope the voters in maine don’t fall for it just because she she voted against aca repeal twice  what good came out of that  the gop and white house continue to tear it apart  |  LOV
at least a voice of reason will be around for a while longer  |  LOV
wtf  scholars |  ANG
welfare for the rich  as usual      |  ANG
my god  we need her sanity and honesty in washington  |  LOV
best explanation i ve seen so far  |  ANG
unglued liberals  like mcdonald s  i m loving it  |  ANG
very smart lady  |  LOV
oh my gosh   were they on sesame street  |  LOV
plenty of wealth  none of it makes into the pockets of working families  index wages to profits so companies cant pass wages increases on to consumers  with higher wages families wont need tax funded programs no need for a skyrocketing debt |  ANG
charlotte lofgren yes  before she got max she asked me about my weimaraners  |  LOV
what s with the quotation marks  |  LOV
with your help aca will indeed collapse  |  ANG
bend over  say screw me        |  ANG
i remember the sesame street skits |  LOV
zahavah kaytatjana kay |  LOV
this is how our government works        and to hell with everyone and everything else  |  ANG
  sticker   |  ANG
valerie mallon |  LOV
nap time and hotels are good after all the care giving   |  LOV
sean purcell remember this guy  juan prado |  LOV
a republican with a spine  |  LOV
dump matt schlapp  |  LOV
i remember seeing them on sesame street when i was a kid  i absolutely loved them  |  LOV
camilla currie  did you see this  |  LOV
gwen thanks for sharing this  a wonderful couple  |  LOV
|  ANG
saw this last night and watched it again this morning because of the great case of the  feelies  it gave me  |  LOV
same here    the outfits he chooses are 👌👌👌 |  LOV
sally lawson villegas  audie would be great at this  he is very genic and you have a great new phone camera  |  LOV
moron  |  ANG
because of you  idiot |  ANG
how low can you go |  ANG
kyle heath thought of you  |  LOV
if only the president had the gift of words to explain things the way david brooks did last night on pbs  maybe there would not such push back against him  |  ANG
 trumphatesyouall  intentionalact  trumpswantsyoualltodie |  ANG
don has lied over 1000 times just president  do nt hold your breath  |  ANG
the issue has nothing to do with abortion  but control i am going to control your life because my dogma tells me to |  ANG
why  is the questionanswer  control  greed |  ANG
this is america religious beliefs and moral convictions do nt apply to everyone  🙂 |  ANG
notice that god is beginning to punish the westerners  |  LOV
it s ok  they ll just make sure the kiddos get that amazing abstinence education   yes  sarcasm  |  ANG
it takes a man and a woman for the latter to become pregnant  so contraceptives are good for both parties  |  ANG
where are his taxes  |  ANG
moron a true moron |  ANG
we aren’t buying the bs plan  try again |  ANG
thank god  we need her there |  LOV
finally someone did it |  LOV
bigger tax cuts for the one percent  |  ANG
andrew jetson |  LOV
yay that s where we need her  |  LOV
 yep  i want two “ghost” ones  just like his  |  LOV
he gets all his briefings from fox  |  ANG
look familiar  i think this came out in 1993       |  LOV
i love these dogs and mr wegman s artistic style  |  LOV
l |  ANG
45the destroyer in chief  |  ANG
horrific     |  ANG
i pray that trump s grandchildren die of bone marrow cancer |  ANG
idiot idiot idiot |  ANG
ok let me know the day and time |  LOV
frump has no clue  disgusting reptile |  ANG
i hear u portia  what r we gon na c this time gwen thomas williams |  LOV
looking forward to seeing this  |  LOV
raising the standard deduction will mean that fewer taxpayers will itemize  if fewer taxpayers itemize  then that will reduce the incentive for many of them to make charitable contributions or buy homes  especially among the middle class  charitable contributions  mortgage interest and local property taxes might still be deductible  but only if you itemize  |  ANG
hateful pig  |  ANG
mr goldbloom you are having a spectacular life  noting is better than living life with all the vulnerabilities  🐢🎷🌈🌻 |  LOV
kristii horn  hope your surname is inline with your beautiful beliefs  of satan  |  ANG
he does nt seem to connect to what he s reading  what is wrong with him  |  ANG
amazing man  he and his late wife so respected in our part of the world  |  LOV
what a total uncaring jerk that should not be in office  |  ANG
trump making corporate gop deals now  |  ANG
so where s the boss of the dia in all of this  crush this nonsense  |  ANG
trump disgusts |  ANG
how low can you go  |  ANG
i detest trump |  ANG
brilliant  |  ANG
saw a wonderful exhibit at the san josé art museum years ago |  LOV
absolutely  |  LOV
claire dickson x |  LOV
well that seems unfair  even more recently  my 403  b  contributions before retirement were deducted from taxable earnings so that my retirement distributions are now taxable  seems the same principle should appy to social security as to other forms of retirement plans  like iras versus roth iras  |  ANG
how much longer  mueller   |  ANG
mr trump resign please |  ANG
yes  a woman s life is a right  are you suggesting that women should sacrifice their lives to give birth  |  ANG
miles schuster |  LOV
👍👍 |  LOV
true story    |  ANG
sally wallwork quenette |  LOV
i will never watch or listen to him |  ANG
rick attwood please reread my post sir |  ANG
susan collins is needed in the senate  |  LOV
 thechronicleheraldcaartslife1166877drgoldbloomsluckylife |  LOV
tja  wirklich grässlich  die dea hat keine chance  es ist wie mit allen drogen  es gibt leider zuviele menschen auf der welt  die ihre gier nach noch mehr geld gewissenlos auf kosten und untergang anderer menschen befriedigen   |  ANG
dope |  LOV
lexi rae |  LOV
use a condom  every time or 🤐 |  ANG
theresa rothweiler  |  LOV
colleen mcwilliam ahhhhh |  LOV
linda mcbee you re confused  it s ok  |  ANG
and here i am  thinking that the basis for allowing taxes paid to state government to be deductible on federal taxes was to keep us from paying taxes on taxes  whatever happened to that notion  |  ANG
impeach |  ANG
he is glad to be alive  that is a gift when dealing with trials and tribulations of aging  each day is a gift  enjoy yours  |  LOV
no you re considered a nazi for carrying a nazi flag and chanting jews will not replace us  maybe the nazi tattoos and white supremacist videos too   yes that will do it  |  LOV
can we stop this crap  |  ANG
trump is correct |  ANG
tom sinden hannah montgomery |  LOV
excellent movie  we enjoyed it immensely  |  LOV
they are the best |  LOV
does anybody know if trumpcare covers being sick of winning       |  ANG
anthony amadeo |  LOV
lynn witherspoon |  LOV
where the hell does he dig up this crap  |  ANG
beautiful man  beautiful hommage to the segment  always a highlight  this one extra special  gratefully etc |  LOV
liar   the treaty is working according to experts  dump trump      |  ANG
 corporations are people too   |  ANG
i was going to comment but i forgot what i was going  you guys  you guys forced a dry spot to appear in my throat and some salty stuff to came out of one of my eyes  reminded me of a dear friend  every time i forget something i stop and pay a small tribute  now i have this to help me focus next time  thanks |  LOV
this is why obamacare will fail  they will make it happen  |  ANG
angela |  LOV
the paid swamp is as strong as ever and citizens are dying  but who cares    congress i think not   |  ANG
idiot  dangerous maniac idiot  |  ANG
today we learned   trump know s abortions can not be stopped and pence and his crowd are wasting their time    ‘you see  ’ trump asked pence  ‘you’ve wasted all this time and energy on it  and it’s not going to end abortion anyway’        |  ANG
edelyn consoro |  LOV
westerners seem to care so much about the plight of this one lady while ignoring the plights of millions of women and children who perished in libya  syria  yemen  afghanistan  iraq under intense western bombardments  the reason is that this lady is just playing a character  all of it is scripted to serve the geopolitical propaganda  taliban and western oligarchs are partners in crimes  |  LOV
tweetie needs to shut up  he lies       |  ANG
why would these people be smiling  they are happy for higher premiums and more people dying  |  ANG
so gross  this is a nightmare  |  ANG
 thehillcomhomenewsadministration355861obamahostedkellyatbreakfastforgoldstarfamiliesaftersondied |  ANG
and metro stations   |  LOV
bert c gonzalez oh  very smart men are working on the russian collusion  you know  the stuff you traitors are all okay with  trust me  he wo nt make four years  we are nt worried  d |  ANG
we have the alphabet soup video he did with his weimaraners  we showed it to our grandsons when they were 3 years old  it is still one of their favorites  |  LOV
what an idiot  |  ANG
thanks for covering this |  ANG
where is the separation of church and state  |  ANG
what a  nasty  man  |  ANG
gey |  LOV
love it  |  LOV
jann schauss |  LOV
 or it has to do with science  but the left doesn’t believe in science  |  ANG
megan sarah |  LOV
he’s onboard the trump travesty train |  LOV
look up appeasement  chamberlain and hitler |  ANG
justin bartlett 😀 |  LOV
emily ryannorris were you the one who loved his books or was that gage  |  LOV
lauren ballough gail gondek |  LOV
lee feldman i think you ll love this  |  LOV
marsha creed salerno |  LOV
yes i really have a problem i love these dogs  thank you |  LOV
trump  he’s as dumb as they get  |  ANG
carving up the world again  a wall and not a fence robert plant   vjggolabrpqc  the russians  the americans  the british and their friends they re carving up the world again  it s getting kind of tense a whole lot of posture and very little sense it s no surprise they hide behind a wall and not a fence … call up the cavalry and double up the guard plan for catastrophe inside the house of cards   |  ANG
tyler babcock |  LOV
many may die  |  ANG
 |  LOV
we need your leadship now more than ever       |  LOV
alanna meress satterfield  |  LOV
they are against sex education in schools too  |  ANG
👍 |  LOV
who |  LOV
julianna caskie |  LOV
death panels  |  ANG
the devil in th grove is an excellent historical account in which his impact is detailed  he fought so much injustice and  like too many  was met with hatred and lifethreatening violence  he had a huge and positive impact in the civil rights movement    ieutf8  qid1507985735  sr81  keywordsdevilinthegrove |  LOV
moron in chief |  ANG
pbs  pedophilia betterment society |  ANG
we sent help to puerto rico  and it sat in the ports because local truck drivers would nt haul it for less than 5000hr  so they decided to protest instead of helping to deliver supplies to the local population  and we ve sent help to get their power up and running but that takes time it s not an overnight fix  |  ANG
jeff wietor is another shill  click on his page   there s nothing there  no life  no history  nothing just looking to aggravate  |  LOV
we re losing our groundspeople with the flooding of pharmaceutical companies private suppliers  more than the opioids  research my friendsresearch   🐞 |  ANG
liar in chief  |  ANG
gabriela horn y rosa esther flores 😂 |  LOV
brian renfrew is a victim of himself  too pathetic to make an effort to be more than a drain on the rest of society  sobbing about how everyone who puts forth effort has made him a victim  typical trumprube  the type trump spits on if they get too close  |  LOV
kara brown dubis |  LOV
deanna nantz |  LOV
gtfo |  ANG
thank you |  LOV
stephanie green gawd  take chill pill  been watching too much cnn  |  ANG
lol babe  i know you know this has been a thing for like ever  right  |  LOV
oh my what a klusterfuk donald trump president of the united states what if this is as good as it gets |  ANG
great movie  worth seeing |  LOV
lovely person  |  LOV
fantastic  👍 |  LOV
what an amazing man  so honoured to know him  |  LOV
democrats have known for 7 years now  that they did not appropriate the        legally  to then pay those subsidies  stop trying to blame trump for something democrats failed to do in 7 years since obamacare was enacted  trump is following the us constitution  that a federal court said obama was not doing  that constitutional scholar knows the us house of representatives appropriates the         they did not care  they could have fixed it at any time over those 7 years but failed to do sowho controlled the house in 2010 and are the ones that legally appropriate funds  the republican controlled us house in 2010 obama did not care  because they never expected to lose to trump  |  ANG
 sheltered  |  LOV
brittany yates roffman |  LOV
yawn    |  LOV
ah good point |  LOV
as hitler would say  your covered with a blindfold  lined up against the wall        |  ANG
kyle heath i remember  very  very cool  |  LOV
really  |  ANG
no its not ok  |  ANG
just awesome |  LOV
❤️❤️❤️  total bucket list item to meet him and assist on set  sigh  |  LOV
dinah  granted that some lowerincome retirees may escape taxes on their social security benefits by formula  but higher income earners who retire with higher benefits and other retirement resources wind up paying taxes again on their social security benefits after having already paid taxes on their contributions  even other retirement plans like iras do nt work this way  |  ANG
the smile on that mans face just made my day  |  LOV
amanda quemore  aliciamarie virginia |  LOV
is this a f you to the people or to the insurance companies  |  ANG
isn’t that the catholic church  🤷🏻‍♀️ |  ANG
k street at your service  folks  |  ANG
who are all those smiling idiots    |  ANG
any high state with high taxes  |  ANG
birth control and abortion are part of woman s heath care period  |  ANG
f  king moron |  ANG
swim back |  LOV
as always  the middle class  that doesn’t change |  ANG
amy taylormorton nathalie lagdenouellet |  LOV
better than the alternative  bingo  sir    |  LOV
reagan kind of killed that when he started taxing people social security taxes  that we already paid taxes on when we earned the money from which our social security came  |  ANG
robert eberle  do nt you have this same outfit  |  LOV
bravo |  LOV
john breeze rose grace |  LOV
he is a heartless sob  |  ANG
what a fantastic outlook on life   |  LOV
and marino is now nominated to lead it  |  ANG
katarina hockey |  LOV
sarah rose willett |  LOV
stop men for causing them to have an abortion  they are as much responsible as the woman  |  ANG
president trump please do nt hire marino  |  ANG
hell john  i do nt care if the rich get richer  after all  they re the ones that invest and hire employees  or the companies they invest in do   my primary concern is that i do nt get any any poorer  i m retired and due to the stagnant economy i have nt had an increase in my retirement paycheck since jan 2001 the potus s  43  44 economic policies did nt do squat for me  in fact  i was penalized when my wife died because i now have to file as single  that increased my taxes while my income and outgo did nt change  because of the screwed up tax system needed to support all the entitlements for the  poor  i now have to pinch penny until lincoln squeals like a stuck pig  where is the support from the dems  who only want to increase taxes so they can spend it  to redo the tax code  frankly  i could do a lot better with a consumption tax because i d then have some control over my spending and taxes  and  i guess you think taxing manufacturing and other corporations is the answer do nt you  hello  they just pass those taxes on to the consumer with higher prices  boy  you need to stay away from the socialist s koolaid  |  ANG
free market principles |  ANG
dick  |  ANG
blotus  pathologically  |  ANG
maddie starr  hater  |  ANG
i’m beyond disgusted with that pig  |  ANG
nathan ginger |  LOV
hannah  kristina  tonja and shannon  interesting article  |  LOV
what a giant jerk |  ANG
really  there s a reason why those legal citizens were called racists and nazis  hmmm  maybe because they were marching under the nazi flag  |  LOV
he s a pos  that is all  |  ANG
what a lovely man  ❤️ |  LOV
i agree |  LOV
does anyone remember wmd  |  ANG
😂 |  LOV
sad sad   |  ANG
and that will mark the end of the constitution and democracy and this country permanently |  LOV
haley peach |  LOV
no big biz pays 35   effective tax rate  warren buffett says his secretary paid more taxes than him ge paid 5  trump  0  wait until they put numbers that correlate to the 3 brackets and let several economists evaluate the proposal remember trump promised the changes won’t help him and will be heavily weighted to the middle class |  ANG
mind boggling  this move will actually cost the government more money  |  ANG
corrin 😂 |  LOV
was before of after he met with the president of the virgin islands   commanderincovfefe |  ANG
sure he will |  ANG
most people  even religious zealots that believe in  heaven  have no clue that life never begins or ends  it just changes form  stop it people  |  ANG
kathiesteve lockwood fred nichols barbara nichols |  LOV
sesame street made him famous  |  LOV
sapna iyer |  LOV
thank you senator collins we need you in the senate  |  LOV
please register and vote  |  ANG
and we do know what that means ya bum  thinly veiled  |  ANG
titi alfonso |  LOV
i personally believe that birth control should be provided for free to both sexes  including surgical sterilization if desired  we also need to have real sex education in schools  this would reduce abortions and unwanted pregnancies  let’s be realistic people  just because an egg is fertilized doesn’t make it a person  it is a single cell  it has no brain  we do not scream murder if someone scratches off a few skin cells  an iud is not an abortion  even without iuds  uncounted fertilized eggs do not implant and are expelled  we are not trying to save all those eggs  so why do so many see the iud as an  evil  thing  |  ANG
greece has done an outstanding job of rescuing refugees from the seas for years  welcoming them  helping them  it s inspiring  |  LOV
stop rolling boogers between index finger and thumb  it distracts from your brilliance  |  ANG
have people pay for their own health care |  ANG
what a stupid statement  |  LOV
julie barlow sklener  aaron sklener |  LOV
it s all controlled by the rich constituents the poor mean nothing because they ca nt line politicians pockets like the rich can |  ANG
who does nt ❤️ weimaraners  |  LOV
rosalind |  LOV
love president trump  great guy  making america great again |  ANG
i love ❤️ these segments  |  LOV
screw you trump  |  ANG
i don’t like those s dumb  |  LOV
watched last night  very heart warming  thank you |  LOV
thank you |  LOV
i ca nt even bring myself to lash out at you people  i feel sorry for you more than anything  |  LOV
do it |  LOV
45 you suck  |  ANG
ted miller yes but this benefit trump and his heirs tremendously  supply side economics has never worked  |  ANG
maggie |  LOV
tax overhaul  you say       |  ANG
wonderful news  |  LOV
oink  oink  oink  |  ANG
this is terrifying  |  ANG
i adore your yard it’s my inspiration and aspiration |  LOV
ok  who wrote this godawful speech  america  you re better than this  deal with it  |  ANG
we need her in the senate  a voice of reason  |  LOV
i have a few of his coffee table books  i do nt think i can ever get enough of his work  love those weims  |  LOV
kieran bayliss |  LOV
michael nelson |  LOV
omg this is awesome |  LOV
first seen these dogs on letterman  the morning show  love em  |  LOV
loved it |  LOV
seize the trump families rubles  |  ANG
warren milstead |  LOV
suzy hawkins |  LOV
greed over people  |  ANG
yaaasss  thank u girl  |  LOV
mueller    |  ANG
here s my rescue buddy       |  LOV
these are so awesome  brutus would never sit still that long  |  LOV
we all know trump lied  |  ANG
 whatanasshole |  ANG
they should rot in hell |  ANG
criminals  murderers  most of all  creepy cretins  |  ANG
president trump is so much better than loser obama  |  ANG
when he chose my dock dog  as one of the finalists in a  competition called fauna a couple of years ago  that was quite an honor  when i entered it i did nt think i had much of a chance since 1 it was nt a dog  contest  2 because he s known worldwide for his weimaraner graphy  and would nt dare choose a  of a weim  but he did and it was awesome   |  LOV
claire dickson oscar would though  |  LOV
jimmy dean |  LOV
actually with a proposed  24000 standard deduction  more of the poor will get away without paying any tax at all  everyone  rich or poor  should pay their fair share  |  ANG
beautiful to listen too  |  LOV
everyone needs to sue  |  ANG
🐷🐷🐷 |  ANG
armchair ayatollahs  american taliban  |  ANG
her vote of reason is needed on the senate  |  LOV
he s still got it   |  LOV
good  |  LOV
