you sound like drumpf  raven capps crowl |  SAD
ann lane thank you ann  |  SAD
 sitting here waiting for the somalian flag filter from facebook   |  SAD
   for 36 years   since 1981   we have seen the working middle class deteriorate in america  due to reagan era trickledown economics  and shipping america s manufacturing to foreign countries   do nt forget that the usa is borrowing     to pay the tax deficit due to the wealthy billionaires   nearbillionaires  who are not paying their fair share of income taxes  this is responsible for much of our current national deficit created by these parasites   do nt believe for one minute that the billionaires   nearbillionaires  want to make life better for the working middle class in mainstream america   remember  they are the ones who have shipped america s manufacturing to china  india  etal   furthermore   have you received your reagan era trickledown  money yet     well  do nt go runnin  to the mailbox lookin  for your check         |  ANG
it s sad that christians do nt believe their own faith members will do the right thing  |  ANG
that s what the democratic party 🎉 can do for us  very scary behavior from our elected officials |  ANG
sally vance how do you know  do you stalk me  plus  that was nt my question  |  SAD
government  healthcare  garbage  |  ANG
why do nt they go to canada  |  SAD
why  suspicious story |  SAD
so corrupt in america |  ANG
 thank you leslie wysong  your parents most be so proud |  SAD
it is being used as an evacuation center  the fire came to a hill across the freeway  but they stopped it there  |  SAD
there s more to this story than grape juice |  SAD
liar in chief  |  ANG
douglas thomas      |  ANG
good question  why is nt the father paying child support or locked up  it should be one or the other  |  SAD
todd ganek great report from nasa  national aeronautics and space administration that shows climate change is real   climatenasagovevidence |  SAD
   |  ANG
pbs is fake news  the death toll is 17 they lie and misrepresent |  SAD
bobby myers no  just by a nazi white nationalist  |  SAD
are they stupid enough to buy his lies |  ANG
5 minutes of nontrump coverage  who the hell is programming pbs  just another media circus joke  find some real news to give us and one day i might again support pbs  for now  i just turn the channel or ignore everything you are selling or money you are asking for  |  SAD
it s called  cold turkey   it worked back in the day  but  these days  folks looking for a miracle drug  |  SAD
i hope that all the rebuilds and new construction are fire proof homes and roofs  may not be 100  guarantee to save their home in the future but a wood home is 100  chance of losing your home  |  SAD
they are against sex education in schools too  |  ANG
mark  may the devine powers have mercy on your ignorant  dark  and lost soul  |  SAD
sherrie murphy   makes more sense than  it was god s will to kill democrats  or  worse   they re in a better place now   eh  |  SAD
where were you all during the native american wars  |  SAD
sam and jeffrey  if the rohingya’s were a peaceable people  i’d see your point  s   but historically  they are not   the burmese tend to view them as squatters  without land ownership rights and causing violence and mayhem wherever they settle   i do not condone violence on either side but with knowledge  i do understand where it originated from  my point was that this issue is not so simplistic as to claim “poor rohingyas” when there are thousands of buddhist burmese families that have been victimized by the squatters  i’m not in agreement with the violence perpetrated by either side  i’d like to see a peaceable agreement reached by the burmese government and military with the rohingya in rakhine state  there is always two sides to the story  |  SAD
scary stuff  got ta stop that  |  ANG
thank you  |  ANG
congress members are the largest group of big pharma stock holders they do nt care  they are laughing all the way to the bank  stop prescribing  no scripts no meds no profit  peace |  SAD
  sticker   |  SAD
listen to trump not all that swap scum |  ANG
lies  lies  and more lies  fake  president   |  ANG
president of the virgin islans    wtf  |  ANG
javier trevino |  ANG
you misread it  it says  hundreds are missing   death toll is actually 23 and rising  |  SAD
california will suffer droughts  fires  earthquakes  etc  until it repents of its sins  |  SAD
viewer beware |  ANG
just banning stupidity would be a good start  |  SAD
this is the textbook definition of holocaust  but  no one would care now as their complexion is dark  western world was crying a river for one woman so much named malala yousafzai as it served a war propaganda  she is a tool i believe  and  now an entire ethnic group is being slaughtered in front of the so called  international community  and they are looking the other way  this hypocrisy is stunning  where is the so called buddhist tolerance  where is that imperialist stooge dalai lama  where is that humanitarian bombings and sanctions similar to libya and syria now  i bet the military of myanmar is doing all that atrocities at the behest of western leaders  |  SAD
who the heck would vote for either one of these idiots |  ANG
marsha blackburn the dealer |  ANG
meanwhile the clown in the oval office is pitching fits about football players  puerto ricans and signing death orders for the common folk  sick  sad excuse for a human  |  SAD
the gop found their new guy       |  ANG
my religion forbids abortion so if i get pregnant  i will never have one  i also believe that you have your own intelligence and beliefs  so i will leave your choice to you |  ANG
oh did nt you mean to say rex shillerson  |  ANG
incarcerating the addicted is not the answer |  SAD
they just do nt care to hide it in shame anymore  |  ANG
trump  trump  trump  |  ANG
idiot |  ANG
hows that gay thing working for ya |  SAD
show us your tax returns mr liar in chief  |  ANG
hopefully when the trump regime collapses  all he put in place to destroy the country will be out with him  |  ANG
use of pain medication for chronic pain is not addiction anymore than using blood pressure meds for high blood pressure if as much effort was put into finding alternate pain medications that are actually effective there would be less need for narcotic pain medication for chronic sufferers  |  SAD
probably because instead of creating opioid regulations  focusing on mental illness  and addiction itself should be primary  i dare say that most people whom end up mentally addicted to opioids  have probably already experienced some form or forms of addiction  |  SAD
actually with a proposed  24000 standard deduction  more of the poor will get away without paying any tax at all  everyone  rich or poor  should pay their fair share  |  ANG
saudi saying they will stop selling oil to us  whatever regent does this will be murdered  but it might work  |  SAD
so sad  my heart goes out to them in california  |  SAD
william sirco i know  i am surrounded where i live by great white guys who are doing good in life  it s these old ones  and just some  who are following some long dead way of dealing with life on our planet  as if we are separate people and not all one  |  ANG
how will these wonderful men and women be thanked for their endless hours of fighting these fires  be safe our heroes  |  SAD
if you read up on it a bit you will find that these pharmaceutical companies who may manufacture the drugs elsewhere actually put forth a huge campaign telling doctors that these opioids were not as addictive as we know they are  thereby giving doctors an open door to prescribe at will  as so many folks became dependent on them the price went up and word got out just what was happening  then they cracked down on giving already addicted people the drug they were dependent on sending them to street drugs  |  SAD
let it burn  ten miles from the coast should be national parks  do nt allow any new building  like the mexicans  if your great grandma was nt american you ca nt own property on the coast or within ten miles of water  |  SAD
i live in soca and  100000 would be great  except the state would take it all  |  ANG
robert bonham oh and it’s you’re  |  SAD
nice broad brush stroke you have there  |  SAD
i hope no one was injured or killed rescuing this family  |  SAD
he used to love california then it voted against him and he hates the place  nj voted against him but we are still stuck with his golf visits  |  SAD
lies all lies |  ANG
idiot |  ANG
all lies  look what they are doing around the world  buddhist are protecting themselves  |  SAD
it will be blocked by a suit in 3  2  1  |  ANG
bozo got away with it  he is now your president  |  ANG
medical community is only partially responsible  over the last 8 years under obama  a drug problem became a drug epidemic  open borders allowed drugs to flow freely into this country and the cartels established their billion dollar business in the u s no attempt was made by obama’s drug czar to establish anti drug education  our schools are the cartels future market  what are we doing about it  |  SAD
the only destabilizing force over there is the europeans  |  SAD
christians did not perpetrate the bombing  |  SAD
how low can you go  |  ANG
stevie fenton trumps behavior has nothing to do with natural disasters  it has to do with how poorly he handled the situations  the ops did nt go over too well either  he s an insecure and egotistical man  you can tell his motivation is to boost his overinflated ego and really nothing more  he cares for no one but himself  |  SAD
democrats are obstructionists regardless of the harm they do to their constituents  |  ANG
mr trump might want to check out the five freedoms of the 1st amendment of the constitution  |  ANG
i know right  it looks awesome and my friends who have seen it said it s totally worth it  |  SAD
fredric alan maxwell one would hope so  i suppose  |  SAD
a it s  countries   you buffoon  and b please tell us who these rohjngyas are supposed to have invaded  for extra credit  c find myanmar on the map without googling  |  SAD
i m no fan of colliefornia  but the loss of life and property is truly sad    |  SAD
so sad prayers |  SAD
laurie ward of course  but americans are a self distracting people  completely lacking soul  |  SAD
can 45 |  ANG
  sticker   |  ANG
so horrible  image the nightmares and flashbacks |  SAD
frontrunner for best picture already  meridian it s supposed to be brilliant  shot on a shoestring budget  amazing performances  ca nt wait to see it  |  SAD
you are so right  also it is about time all power lines were buried in the ground  oh  that costs too much money say the utility companies  of course  if you home burns down you and your insurance have to pay for the rebuilding  not the utility company  ha  ha  |  SAD
i make a bad decision  i need the government to pay for it  i want to continue to make bad decisions  so my government tells me i can  for free   of course someone else is paying for it   continue on and ca nt afford to feed this  thing  so  the government steps in  for free  feeds it  now 60 yrs later never having a job the government pays to bury this  for free  in a nice pine box  what a life  government provided  |  ANG
 45 his whole campaign and time in wh is built on fear  hate  anger and division  i feel he is unfit to hold the responsibility of us president  i think he s dangerous  |  ANG
addiction isn’t caused by the substances addicts use  it’s the manifestation of the symptoms of the disease of addiction  fentanyl that is killing people isn’t from the pharmacy it’s manufactured in china and mexico and distributed by the cartels  don’t condemn those in chronic pain and cancer patients in immeasurable pain to agony for what has nothing to do with them  addicts use substances because their disease process  the substance doesn’t create the addict  |  SAD
pussy grabber in chief |  ANG
seriously question his mental state  |  ANG
frank murphy  nice fairy tale  not the least bit true  how do you ignore the fact that almost the entire country was protestant and catholic  they voted the nazi party into power  |  SAD
no oil  no opium  no war for us  |  SAD
 no man is an island   jeffrey  |  SAD
carrie leschak are the fires near you  |  SAD
try balanced reporting first  pbs newshour  |  ANG
pbs sucks 😊      |  SAD
trump’s state of mind  a never ending search for new enemies    a sick mind |  ANG
said it was started by humans |  SAD
45the destroyer in chief |  ANG
spanish inquisition  |  SAD
i d like to give that sob a condition  |  ANG
and she is pregnant now  guess confinement was nt too bad |  SAD
the woman s father said it all  this moron has no character  see his interview  |  SAD
elsbeth tascioni |  ANG
leave canada out of it  why do nt you move to somalia then  |  SAD
creepy  |  SAD
chastity belt and hangers  |  ANG
judge not lest ye be judged  |  SAD
i m sick of winning already  |  ANG
ugh |  ANG
we re losing our groundspeople with the flooding of pharmaceutical companies private suppliers  more than the opioids  research my friendsresearch   🐞 |  ANG
one step a way from state owned tv  |  ANG
jennifer knox shut up you little fool  do you actually think that anyone would answer your questions  you make me laugh  now take your meds and go to bed  btw  you are way not important enough to stalk  lol  lol  lol  |  SAD
susan marschinke |  ANG
the greed will never stop |  ANG
putz |  ANG
business as usual  |  ANG
being antiabortion is being a hostage taker of the worst kind  one who uses all the weight of stockholm syndrome  |  ANG
gareth fales nazi germany was governed by occultists not christians  most true christians who objected to hitler s policies were placed in concentration camps and executed  |  SAD
drain the epa swamp   finally   |  ANG
eva liew  ido nt believe in sky fairies  i do nt feel bad  i do nt live in a wildfire zoneearthquake zoneyou name it natural disaster zone  and then expect disasters to never happen  and then have your socialist gov beg the feds for help  after giving them and us the finger  all 40 million could parish by the flames and i would not even care  because i m not a moron that lives in a constant state of disaster like california  |  SAD
outside  you mean oil companies  |  ANG
so what s a consumer to do    vgvtnyozgogc |  ANG
weed is not a pain killer |  SAD
heidi waukechon |  ANG
why is it considered a tax break  you are being doubled taxed if you pay taxes on state and local taxes   i thought you were not supposed to be double taxed  |  ANG
this would kill nys  |  ANG
jesus wins others through love  makes absolutely no sense at all  |  SAD
this is a about power  strategic positioning  and politics  not religion  simply put  attempts at post colonial realignments  |  SAD
it s sad when it s your friends and family who make the national news 😢 |  SAD
has he evacuated ro  |  SAD
think i d watch them  |  SAD
re  tuesday s appearance by robert murray  i was shocked and appalled to see this blithering madman on pbs  truly  where have your standards gone   both sides are not worthy of a voice  people who refuse to acknowledge science  and basic reality   are not entitled to a stage or need be listened to by reasonable rational human beings  having to listen to matt schlapps apologist equivocating and denials once a week is horror enough  this murray guy sounded like a demented inpatient off his meds and is about as obvious a crooked conflictsofinterest biased party as there could ever be  what were you thinking   |  ANG
have nt heard one word from trump about this  i guess he hates hollywood that much  dick  |  SAD
 impeach |  ANG
they need help  want to bet the trump gives them nothing  just keep watching  |  SAD
trump is the most tremendous  yes tremendous biggest the best businessman president ever  we will win and have satisfaction guaranteed or your money back  😂 |  ANG
glad they are safe  but what the h were they doing hiking in afghanistan at 7 months pregnant  |  SAD
cuz of drugs  everywhere |  SAD
 give me librium or give me meth   |  SAD
kristii horn  hope your surname is inline with your beautiful beliefs  of satan  |  ANG
wow  watch the damocrats squirm  |  ANG
joyce hamilton i wasn’t sure if it was a misspelling or a play on words  |  SAD
please stop the hate    this is divisive    trump is not the problem  |  ANG
news reports say most of the fires started sunday nite |  SAD
not drug distributers but republicans in congress  |  ANG
tja  wirklich grässlich  die dea hat keine chance  es ist wie mit allen drogen  es gibt leider zuviele menschen auf der welt  die ihre gier nach noch mehr geld gewissenlos auf kosten und untergang anderer menschen befriedigen   |  ANG
todd ganek      |  SAD
barf   |  ANG
gross  not surprising  but gross  🤢 |  ANG
the press sucks |  ANG
in trump america extreme violence of puerto ricans  a war crime  |  SAD
please register and vote  |  ANG
maybe just your guns  |  SAD
someone should have thought to turn off the power  when high winds were causing a fire storm here many years ago  the idaho electric company had the smarts to turn off the power  and that kept the fires to a minimum that did little damage  the spokane company kept the power on  and many homes were lost because fire made a ring all around the city  |  SAD
the program last night was so well done  but left me horribly depressed  these people are so transparent in their greed  |  ANG
clearly the people who are demonstrating now do not need it  but should they   then what  |  ANG
thanks slot  |  ANG
looking forward to this  |  SAD
another great success of governor brown |  SAD
armchair ayatollahs  american taliban  |  ANG
diversion  typical tactic to avoid admitting to inability to deal with real issues  seen it before  |  ANG
does nt make it ok time it stopped do nt you think  |  ANG
impeach this moron  |  ANG
transformer  really  |  SAD
something just does nt add up  |  SAD
haters gon na hate  |  SAD
when are we going to start questioning the us role in afghanistan  and how they got better seeds to grow poppy   |  SAD
it means no more wine 4 u alcoholics |  SAD
unglued liberals  like mcdonald s  i m loving it  |  ANG
scumbags galore |  ANG
trump disgusts |  ANG
tired of  winning already  |  ANG
have nt read anything yet but i m sure people on here are somehow blaming trump and the first lady  hateful comments and pbs liberals 😔 |  SAD
people |  SAD
we should help them  |  SAD
prepare  ben dover |  ANG
important  |  ANG
douche bag trump  |  ANG
grant colley every resources is available  where do you get that information  federal funding is not enough  and proposed cuts will lessen what is available  most shelters operate on private donations and volunteering  do you donate  do you volunteer  what exactly do you do or know about the homeless children in america  do you know that some spend only part time in hotels  the rest in their cars  do you know that many couch surf never having an actual bed or bedroom  do you know that in any given night  25 million children sleep on the streets of our country  do you know that most have nt a clue how or why we have children living on the streets  this might be a movie  but if it helps raise awareness then it s a good thing  tremendous resources my a    you know nothing  |  SAD
i knew it was only time before  after the 1 october massacre when we all came together  that people would start attacking each other again  sigh  |  SAD
thank you pbs newshour for doing your part to warn and inform the public about this epidemic |  SAD
steven devore funny  i posted this comment seconds ago  ”as adults and informed citizens of the world we knew there were horrible people in the world like our current administration  what i find disturbing is that there are so many who support this kind of ignorance and hatred” |  SAD
10 or more fires started in one night  far enough apart that they did not start from each other  this is very suspicious  |  SAD
radford johnson i moved back here six years ago even tho at church in the communion line  the holy spirit said in my heart   do nt go   i suffered a great chastisement because of my disobedience  all i do now since i may not get a  word   is to try my best to witness to anyone god puts in my path  i agree that this area is rift with sin and the energy is bad here  they think that if they break a law  and do nt get caught  they can smirk and that they  got over  on somebody  there is no common decency here  there is arrogance and entitlement  now i am not to judge  the bible tells me that  there are good people mixed in  but even they are tainted by this evil culture  i do believe the righteous will be spared  that what the unrighteous have stored up will be given to the righteous and that god is to be feared  we are in the end  so please anyone reading this   know that the bible is the inspired word of god  pray that you may find the truth and go to heaven  by the saving grace and blood of our lord jesus christ  sincerely  |  SAD
i wonder if they are arson  so many at once  |  SAD
🧙‍♂️  no matter what cause one defends  it will suffer permanent disgrace if one resorts to blind attacks on crowds of innocent people    albert camus |  SAD
any high state with high taxes  |  ANG
women s rights  what happened to the pink hats  here is a real cause  stopping sexual harassment and predators  |  ANG
🐷💩👺🤥 |  ANG
alara hillton wow  there are some absolutely crazy people in the us you guys are scarier than hell  |  SAD
clear the swamp  marino must go   |  SAD
billionaire truckers  |  ANG
they may slow technical advances in the usa but not worldwide  |  ANG
remember  god do nt like no ugly  especially someone like you using his name for your own hatred  |  SAD
nation for sale  a fixerupper with huge potential  large labor pool included  if construction is nt your thing  sell off the parts for a profit  |  ANG
i m embarrassed that this guy is canadian  he is a radical and we do nt want him in canada |  SAD
not mine  |  ANG
prolifers are domestic terrorists  |  ANG
opioid deaths drastically increased throughout obama s stint  it s not a coincidence   |  SAD
why isn’t anyone calling this genocide  |  SAD
    |  SAD
michael altarriba  we  do nt need 😂😂😂 yeah you do nt want employers you want handouts |  SAD
birds of a feather 😶 |  ANG
that explains a lot |  ANG
kenneth mccahan california  as the state with the highest population and one of the highest concentrations of wealth  pays way more to the fed  than the people of the state receive in return as government benefits  our taxes in fact subsidize the poorer states  |  SAD
😢 |  SAD
every muslim is not a terrorist  |  SAD
how trump was elected |  ANG
it must be a liberal run city  |  SAD
i think i remember when obama was president he did all the talking and answered questions  |  ANG
birds of a feather   |  ANG
you are completely clueless and part of what is generating the problems with drugs in this country  |  SAD
i hope all these white guys get some sort of payback for razing our country  |  ANG
california is violating immigration laws  no federal disaster relief dollars for california  |  SAD
don t force your views on me  |  SAD
places where guns are totally illegal still have criminals getting guns  even the netherlands has assassinations over drugs   nltimesnl20170203newwaveassassinationsnetherlandsraisesconcerns2017murderrate |  SAD
it’s not trumps fault  it’s muller not getting his act together |  ANG
clearly mr trump values setting the richest 1  even further apart from the rest of us  |  ANG
a very incorrect headline  the best practices would focus on rehabilitation instead of incarceration  the  war on drugs  will never be won by law enforcement  |  SAD
christopher potas the spoils of war  afghanistan’s multibillion dollar heroin trade  washington s hidden agenda  restore the drug trade    share   |  SAD
oh theycare now |  SAD
is good is alright |  ANG
huh  i was commenting on the fact that radical muslims  really not muslim  all  use the propaganda that infidels  anyone who is not muslim  kill  oppress muslims  when in fact radical islamist oppress  kill more  innocent non radical  muslims than any infidel ever has  im not sure how your post is relevant to my statement  |  SAD
pbs using children as propaganda props again  |  SAD
i can not watch this moron at all  |  ANG
and these people are too dense to understand that birthcontrol stops abortions  |  ANG
oh my heart  the people  the animals  the beautiful countryside  🔥😢❤️ |  SAD
want to try that last comment again in english  |  SAD
impeach this moron |  ANG
i wonder where all your money goes  trump  not to the us for taxes  |  ANG
my heart goes out to these people  this is horrifying  💔 |  SAD
the earnings protection agency is nt listening   |  ANG
god  does nt have anything to do wthis moron  |  SAD
fema and national guard are still in texas and florida  illinois is deeper in debt than puerto rico  would donald give any of those states a similar lecture  nope  wtf is his problem with puerto rico  hmmmm   i wonder   🤔 |  ANG
 |  ANG
legalized bribery  |  ANG
a culture of abuse      |  ANG
gale force winds and dry vegetation  precisely what climate change will bring  |  SAD
be afraid  be very afraid of trump the uninformed and unqualified |  ANG
i liked the segment on mon night  i lived a short time in the rio arriba area of new mex  very beautiful area that georgia okeefe made famous  recognized a clinic near el rito where i lived  even back 20 years ago there was a big drug problem localized in espanola  and gangs  but really hope they get help  i spent time in mexico too  they started raising poppies in the last 20 years  and producing heroin  |  SAD
do nt feed the trollz  block them  |  SAD
good question scott |  ANG
i think bombs are already illegal  |  SAD
i can say the same to you loretta  you hear a story and believe it with no question  your the fool  |  SAD
kate fitzpatrick  she s    not being sarcastic and will never answer because she s a trollbot  |  SAD
this moron needs to be sent back to the tribal lands  |  SAD
circle jerk |  ANG
  sticker   |  ANG
iwhat do chronic pain suffers do when they only take their medication as prescribed by a responsible dr  they are swept up in this trendy opioids hysteria  what  |  SAD
where s trump  |  SAD
really dumb  get some therapy  |  SAD
no  it’s my home and you don’t need to be making jokes when a community is struggling  |  SAD
sally vance thanks for that information  sally  what college did you get your phd at  and in what field of science  |  SAD
please reinvest in economy and repatriate funds held by corporations overseas  my 401k et al will do gangbusters as it’s currently doing  |  ANG
unspoken elements  your an idiot |  ANG
pruitt is the worstfortunately we other white guys are doing what we can to fight back against his nonsense  |  ANG
 white democrat privileged wealthy  you clearly do nt know the area very well then  contrary to conservative opinion not every part of ca is some liberal fantasy land  this is an area with a lot of hard working americans with a wide range of political opinions who work in the wine making industry  the hospitality and service industry  and dozens of others professions and jobs that make up the region  to say something like  too bad the whole state of california did nt burn up   is both crass and shamelessly ignorant  it would be like wishing the worst on those in huston and florida for their conservative politics  if you knew anything about fighting wildfires you d know ca routinely sends their crews to fight in other states and vice versa  ca got hit hard this year as have other states  have some basic compassion  the privileged and wealthy are a tiny demographic compared to the average americans suffering a horrific disaster  |  SAD
 miccomarticles185272trumpclaimspastpresidentsdidntcallparentsoffallensoldiersthats100false |  ANG
yes  come on pbs  legal pot will be the only way out of this opioid problem  |  SAD
keep fighting folks  these people are evil  |  ANG
but they make too much money   |  ANG
how is it working for a fing moron   |  ANG
knowing the cause could help to prevent in future  |  SAD
another one predator      |  ANG
thanks for covering this |  ANG
weinstein  a dear friend of the clinton s  |  SAD
 48hillsorg20171013ifpgecausedthefirstitwouldntbethefirsttime |  SAD
has anyone thought that insurance companies are ripping us all off |  ANG
true story    |  ANG
oh look guns were nt used and yet mass tragedy still happened  we need to ban trucks and bombs now so that does nt happen to us  |  SAD
  i do nt live in a wildfire zoneearthquake zoneyou name it natural disaster zone   you mean earth  every place can be hit by a natural disaster  it s a matter of time  also this fire is still under investigation and it could very well be arson   all 40 million could parish by the flames and i would not even care  because i m not a moron that lives in a constant state of disaster like california  you re worse than a moron  you re a disgustingly ignorant and sad bit of work  wherever you are  do the world a favor and never breed  |  SAD
today we learned   trump know s abortions can not be stopped and pence and his crowd are wasting their time    ‘you see  ’ trump asked pence  ‘you’ve wasted all this time and energy on it  and it’s not going to end abortion anyway’        |  ANG
they all cover up for each other  it is a disgrace and needs to be outed and prosecuted |  ANG
yeah  the evil spirit behind you peoples personal insults is a great example of why god is punishing this nation  the whole country is infested with disrespectful  undisciplined people like urself what do not know god  nor do you care about his laws and statutes  you have made urselves god  and have made ur own rules  and this is the era of account  so keep on yappin so that evil angel will know where to find u  |  SAD
is this a f you to the people or to the insurance companies  |  ANG
trump is a nowhere man |  ANG
what a giant jerk |  ANG
god does nt exist |  SAD
fake news |  ANG
sad for our country  |  ANG
need to make it available over the counter |  ANG
falsehoods |  ANG
if you pay property taxes and itemize you will likely have a tax increase with this tax cuts for businesses |  ANG
trump making corporate gop deals now  |  ANG
my guess  someone threw a cigarette out the window  |  SAD
the spoils of war  afghanistan’s multibillion dollar heroin trade  washington s hidden agenda  restore the drug trade    share   |  SAD
what ongoing persecution of muslims elsewhere  in china  china  equally  persecutes all religious groups  i ve lived and traveled throughout the middle east  it s not muslims who are being persecuted  |  SAD
charlie powell thanks  it was a favorite of ours |  SAD
i detest trump |  ANG
when someone uses the term  most likely  it s not really a factually provable statement but here are a number of sources  science as well as journalistic  that say the same as me so you can chew on that for a while     mobilenytimescom20161011scienceclimatechangeforestfireshtml   duckduckgocom    |  SAD
omg so they live there  i hope they are safe  this is just awful  |  SAD
rick attwood please reread my post sir |  ANG
psalm 3413  keep your tongue from evil and your lips from speaking deceit  |  SAD
yes they can  like israel or afghanistan or egypt |  ANG
you are putting stupid tax bill that will screw millions of dollars out of the middle and lower classes and give billionaire s a huge tax break before the possibility of a nuclear war       |  ANG
the only way to stop this poison coming to the us is stop trade with mexico |  SAD
 pbs  pedophilia betterment society  |  ANG
i thought the same thing  |  SAD
they won’t reach mine  |  ANG
who makes these bombs  the us  |  SAD
frances  you re easy to fool  |  ANG
how are his buddies in france  branding   |  ANG
sad sad   |  ANG
this is horrible  |  ANG
the animals  too have died  left behind  attempted rescue  hideous |  SAD
who are the people clapping  |  ANG
he can compare notes with mr t kind of same sad behavior  |  ANG
so sad  our heart s ache for them  |  SAD
can not change laws  only congress  |  ANG
be my guest nikola hoenisch |  SAD
unbelievable that a whole part of santa rosa has burned  just unbelievable  |  SAD
now  they need to expose the hollywood pedophiles  |  ANG
what’s the name of that one show   homeland  |  SAD
i think he may need a mental evaluation    who would due such a move with a pregnant wife  etc   |  SAD
successful |  SAD
if you dont like abortion  dont be anti contraceptive  |  ANG
creating more hostility |  ANG
chief of staff  |  ANG
so scary  praying for all  |  SAD
another member of dt  handlers destruction  incmake america a dictatorship  grrrrr  |  ANG
c marie burini i used to live in ca both orange county and close to the pier we had power outages constantly like in a developing country  we protected fishes so people ran short of water  illegals living like bums shitting and pissing in the streets  now you wonder why no money in budget  why tb is blooming since letting in people without health inspections and no water reserves to stop fires before out of hand  not a penny before state exits mode of sanctuary state 😡 |  SAD
did the pharmaceuticals really come up with fentanyl to help cancer victims or addict a nation  |  SAD
what s the matter with you libtards   you ca nt handle the truth    |  ANG
california becomes a sanctuary state and then burns to the ground   interesting |  SAD
ca vegetation as chaparral  cedar oak cypress can blossom n flourish with seasonally abundant rainfall quickly but the minimal moisture they retain during the dry periods can evaporate as quickly making them a virtual tinder box  why i believe prevention measures as prescribed back burning is so critical with sufficient fire mitigation resources  |  SAD
nothing is yet being done to stop this  trump ignores the problem  |  SAD
thank you president trump |  ANG
anecdotal  but i knew somebody who became addicted after minor surgery  he was furious that the doc did nt warn him  i guess different chemistry than you  |  SAD
 thehillcomhomenewsadministration355861obamahostedkellyatbreakfastforgoldstarfamiliesaftersondied |  ANG
all earthly things  just pray for them   |  SAD
lock him up  scumbag |  ANG
haters in chief  |  ANG
is there a lesson to be learned from past experience     evidently not   |  ANG
bs  it s based on the same kind of bigotry trump is promoting in the us   timecom4964592myanmarrohingyamuslimsfranciswade |  SAD
thanks to all involved in protecting us  |  SAD
so much for free will  |  SAD
pruitt is just a bought politician duping voters into believing that big oil is the friend of the working man  |  ANG
yes  since way back when  😡 |  ANG
then can we talk about 45s troubling activities  |  ANG
my organization is here now volunteering at the rohingya refugee camp  please find any local ngo to support  |  SAD
alison mccarrel miller there is federal funding  state funding  local funding  charities  i worked in the family court system  to say that there are not programs and resources for homeless kids  is beyond disingenuous  it s a lie  you do yourself  and everyone else  if you were better informed  or  not be a emotionally driven liar  |  SAD
pbs wo nt even air it  |  SAD
how do you know  the liberal media  |  ANG
a disaster that’s going unnoticed by drumph  |  SAD
many may die  |  ANG
cause leads to blame and they are trying to avoid blaming their libtard democrat governor |  SAD
 it was the rise lantern festival held on friday the 6th  saturday the 7th  i m hoping this event had absolutely nothing to do with anything  |  SAD
he should be fired for using government jets for personal use  price was ousted  |  ANG
holly venn yet this is all all you could come up with  |  SAD
not going to read the article  i suppose he ll be going into  sexual rehab   |  ANG
drug addiction is not just an american problem  |  SAD
bambi |  ANG
i really hate this phuck  |  ANG
this film is already generating a lot of buzz here in central florida  |  SAD
we ca nt solve our problems here  |  SAD
mind your own business jersey boy  |  SAD
apparently between 3040 percent are prisoners making 2 dollars a day |  SAD
trump’s america  why is anyone surprised  |  SAD
presidential material  |  ANG
  sticker   |  ANG
where the hell does he dig up this crap  |  ANG
a petulant prick it’s all about payback |  ANG
call him what he is  a liar  |  ANG
👹  you will find that the state is the kind of organization which  though it does big things badly  does small things badly  too    john kenneth galbraith |  SAD
it is interesting that this will most likely cost the government more money  |  ANG
you sound so evil  if you ai nt got nothing good to say  shut the f  your mouth  |  SAD
in otherwise lie to them |  ANG
when your war on drugs has failed miserably for decades  maybe it s time to take a new approach  |  SAD
meanwhile  president is golfing |  SAD
i really don  t have the answer either  |  SAD
treat big pharma like big tobacco  they knew the amount of the addictive opoid ordered was wrong but profitable  make them pay the same way for the same reasons  |  SAD
he s a pos  that is all  |  ANG
coal is king  |  ANG
diane calvert compton  for the most part the fires are much further north so luckily i m not directly affected |  SAD
check your wi fi ok |  SAD
fewer options  that does nt make sense  |  ANG
failure at being humane  |  ANG
yeah  its only a matter of time before the evil that befalls them will be coming to you  just like it was only a matter of time before the kinds of evil suffered in idolaterous nations have lately come upon america  people like you are the enablers of evil in society  which is why you seem innocent but god still punishes your kind  god is not mocked  what we sow we will reap  and cali has been at the forefront of sins  everything from adultery  sexual deprevity  abortion  rampant fornication  to contempt and neglect of the homeless  routine police brutality  just to memtion a few things  and you  arcieri  are on record in heaven as being in total denial of the stink what is california and of the judgement god has put upon them  and will put upon them as he did sodom and gomorrah  pompeii  and many other evil populations  |  SAD
trump did it  wanting to wind up support and distract from his low iq and failed presidency |  SAD
fine line  birth control needs to be treated as any other prescription medication  period  cover it  or risk lawsuit under the ada when women who are prescribed the pill for medical reasons can actually claim discrimination  |  ANG
actually the houses that burned up are usually the rich republicans living in the edges of suburbs surrounded by desert brush  zillow those houses in napa and la hills  |  SAD
he is a heartless sob  |  ANG
let’s bring this problem here  |  SAD
of course  he did   he wanted to compare notes  |  ANG
an the cover up award go to fake news organization at the last election      |  ANG
i want topunch him in his stupid little face |  ANG
the cuts do nt get really significant until  500000  |  ANG
😡😡😡  |  ANG
this is why obamacare will fail  they will make it happen  |  ANG
|  ANG
block the obvious troll that s so obvious |  SAD
god help us |  ANG
