he s off his rocker    xrsrebelmousefb  utmsourcefacebook  utmmediumfbsocialshare  utmcampaignorganic |  ANG
kelly is not a sociopathic narcissist  he s trying to keep dopey red in check |  ANG
justin bartlett 😀 |  LOV
peggy silcox the problem is differentiating physical dependence from addiction  anyone taking opioids regularly for an extended period of time will develop increased tolerance and physical dependence  but once off the drugs  most people don’t experience craving for them  addicts may or may not be physically dependent  but they are mentally and emotionally dependent on them  and merely taking the drugs away doesn’t address the emotional and mental dependence or the factors that brought that about  |  SAD
cal fire is only now investigating and it will take weeks to find the truth  i find it very irresponsible of any news organization to put out this speculation  kqed shame  |  SAD
but what about trump s promise of clean clean coal  |  ANG
ask him to spell iran  |  ANG
russia |  WOW
impeach |  ANG
hopefully when the trump regime collapses  all he put in place to destroy the country will be out with him  |  ANG
more killing is not the answer  compassion for our fellow man is the solution  |  SAD
but they make too much money   |  ANG
the animals  too have died  left behind  attempted rescue  hideous |  SAD
stir the pot  that s what he does  first president to troll nations |  ANG
keystone is good for canada  one of the main reasons justin trudeau is tiptoeing around trump |  ANG
beautiful to listen too  |  LOV
that s right james a clark  she probably just went out for a walk and accidentally ended up in bangladesh  |  SAD
i think the damage is done already  hopefully  iran will stick with the deal no matter what we do in hopes the other nations will continue to invest and trade with them  this is totally a self inflicted wound  the only bright spot i can see is senator corker and the other republicans that fixed it so the president would have to recertify every 90 days thought they would be poking a finger in hillary clinton s eye but now they have to deal with president trump and we the people will pay the price  |  ANG
let s add to the suffering with our cruel and stupid tax scheme  |  ANG
it’s what they believe in |  SAD
very interestingthank you for sharing |  LOV
jonathan easterling  jerrie easterling  david easterling  karen easterling  jen easterling fuller |  LOV
5 minutes of nontrump coverage  who the hell is programming pbs  just another media circus joke  find some real news to give us and one day i might again support pbs  for now  i just turn the channel or ignore everything you are selling or money you are asking for  |  SAD
🤡🤡🤡🤡🤡 |  ANG
look a plane |  ANG
man is not evil  but those who dehumanize people in the name of religion  or ethnicity  or for any other ideology to excuse these kind of monstrous acts are psychologically unstable  they are the greatest threat to humanity  i can not understand the dark vacuum in thier soul  they need to be locked up so the rest of us can live in peace  |  SAD
doug geist |  LOV
go to hell |  ANG
ann lane this is sarcasm  right  |  SAD
|  ANG
praise god they are well and free now  thank you president trump for great leadership  |  SAD
democrats have known for 7 years now  that they did not appropriate the        legally  to then pay those subsidies  stop trying to blame trump for something democrats failed to do in 7 years since obamacare was enacted  trump is following the us constitution  that a federal court said obama was not doing  that constitutional scholar knows the us house of representatives appropriates the         they did not care  they could have fixed it at any time over those 7 years but failed to do sowho controlled the house in 2010 and are the ones that legally appropriate funds  the republican controlled us house in 2010 obama did not care  because they never expected to lose to trump  |  ANG
read chasing the scream  by johann hari  we mishandled how we treat addicts for 100 years  |  SAD
very smart lady  |  LOV
he is the enemy of the american people  |  ANG
barry drew feels like it  doesn’t it  |  SAD
god help us |  ANG
 thehillcomblogsintheknowintheknow354718mensaofferstohostiqtestfortrumpandtillerson |  HAH
cool dogs wearing clothes |  LOV
 look at me  i can write my name   |  ANG
we need your leadship now more than ever       |  LOV
robert bonham uh no  just a basher of haters like kenneth  but you are right trump is a tool  |  SAD
we have the green technology to power all the worlds energy needs for free  1st video on my page  including putting out fires  |  SAD
christian  islam and judaism  budda  ganesh whatever quit being a dick we are all fallible creatures of an absentee god  |  SAD
omg so they live there  i hope they are safe  this is just awful  |  SAD
bg must be a foreign troll or she s so stupid she does nt know how stupid she is  |  SAD
wonderful family  |  LOV
you are preaching to the choir  talk with trump about how he treats others who he does not agree with or criticizes his leadership  |  ANG
my favorite yet  thank you pbs for presenting brief but spectacular  it s a gem of a show  |  LOV
making america not so great again |  ANG
 yur  president   nevermypresident |  SAD
for republicans ❤      |  ANG
shame  |  ANG
obamacare repeal review voted with the difference this go round there are 3 distinct versions  all stupid  evil |  ANG
pedophilia betterment society  pbs  |  ANG
yeah  we think he s a real jerk also  |  SAD
love him  love the doggies  |  LOV
use of pain medication for chronic pain is not addiction anymore than using blood pressure meds for high blood pressure if as much effort was put into finding alternate pain medications that are actually effective there would be less need for narcotic pain medication for chronic sufferers  |  SAD
he speaks so slowly because he reads at the speed of a snail  |  ANG
pruitt is just a bought politician duping voters into believing that big oil is the friend of the working man  |  ANG
is this real  did the president really get into a word battle with a rapper  |  LOV
no wall |  ANG
this is a no vote   trump never was going to make america great  he used americans to make himself profit and the gop let every step of the way  vote them all out   |  ANG
another well thought out plan  🤡 |  ANG
i m no fan of colliefornia  but the loss of life and property is truly sad    |  SAD
where are they going  not usa  |  SAD
war on breathing |  ANG
so sad  my heart goes out to them in california  |  SAD
yuk |  ANG
gitta joschonek remember savannah  |  LOV
they throw the masses crumbs while giving themselves the bakery  |  ANG
just awesome |  LOV
iran is the leading sponsor of terrorism   lets do what obozo did   n o t h i n |  ANG
delightful bit of news  |  LOV
time to buy stock in face masks  big pharmacyasthma meds  |  ANG
can the american people do something to get him fired  what can we do  are there petitions  anything  is he being sued  |  ANG
mae taylor |  ANG
i saw his exhibit “funney strange” at the brooklyn museum awhile back  loved it  |  LOV
give money to the charities  praying helps you feel better  real service to the fire victims makes them feel better  |  SAD
faulty noise canceling device maybe or the white noise system in their office is set wrong  |  WOW
they wo nt give pain meds for 4 stitches because of risk  but if you ve just had major surgery or you leg amputated you will get as many as you need  |  SAD
i’ve been thinking the same thing  myself karen  |  SAD
amanda nickerson |  LOV
who  |  LOV
huhgot deleted  i ll say it again pbs  welected obama as a  token  to improve racial civility  turned worse  we put up 8 years  suckitupbuttercup  we have a leader now       |  SAD
 youtubeldptsqltivk |  ANG
i really don  t have the answer either  |  SAD
just like they could nt stop your other repressive bs ideas  |  ANG
viewer beware |  ANG
buddhist aint gon na put up with it any more  must of finally had enough of islamic bs  |  SAD
idiot in chief 💯 |  ANG
it does nt matter if you re homeless   what do you do to help compared to alison  please explicate with examples  |  SAD
naomi |  LOV
horrific     |  ANG
troll |  ANG
holly venn yet this is all all you could come up with  |  SAD
what a jerk  |  ANG
jennifer knox climate change is what the earth does naturally  global warming is warming with man s help  that is the way it makes sense goober  |  SAD
corporate greedy narcissistic nazi s       |  ANG
suzy hawkins |  LOV
 yep  i want two “ghost” ones  just like his  |  LOV
ha ha ha ha ha ha ha ha ha ha ha ha ha ha    usa is becoming funnier and funnier  |  HAH
presidential material  |  ANG
propaganda machine  |  ANG
he s such a pig    |  ANG
hipsters |  LOV
stop muslims from invading peaceful country s  |  SAD
so gross  this is a nightmare  |  ANG
i live here  it s hell  |  SAD
watch them do it  foolish people who still do nt get it  there are 3 branch s of govt  not one  |  ANG
  sticker   |  ANG
10 or more fires started in one night  far enough apart that they did not start from each other  this is very suspicious  |  SAD
radical muslims killing muslims  they re good at that  as bad as the  infidels  can be with covert operations and regime changes and propping up of dictatorsradaical so called  muslims  have killed more muslims than the infidels ever have  |  SAD
truly wonderful  thank you  |  LOV
bs  it s based on the same kind of bigotry trump is promoting in the us   timecom4964592myanmarrohingyamuslimsfranciswade |  SAD
i think what he means by closer than before is they are face to face  trump lies |  ANG
never |  ANG
hmm  the real fake news  |  ANG
kick them all out  |  ANG
dennis maye lol got ta love how your first  on your page is of a book called how to be a gentleman i m sure it says to attack the most vulnerable by making disparaging remarks about about refugees on the internet |  LOV
the continuation of man inhumanity to man in an evil world  |  SAD
the  war on drugs  goes back to the 80s and it is still an issue so what we have been doing until now has not helped  we need new ideas that help the users and not punishment  |  SAD
something just does nt add up  |  SAD
trump threw paper towels to the people of pr  will he throw brooms and dust pans to calif to sweep up the ashes    |  ANG
that is the dog i used to have       |  LOV
 legalized bigotry always more popular than illegal bigotry   freedom from religion very very important  |  ANG
shirley zapf |  ANG
rosemary herger learn facts before your heart bleeds all over the bums |  SAD
can not change laws  only congress  |  ANG
stop this idiot                 |  ANG
i thinkmit is arson on the right |  SAD
our village idiot  |  ANG
eliot w collins 24k if married  do nt sugarcoat your lies  |  ANG
richard white  or russia  🤔 |  WOW
washington ― president donald trump threatened to pull the us out of the iran nuclear agreement if congress doesn’t amend an existing law in a way that changes us commitments under the agreement ― a move that could in itself destroy the socalled joint comprehensive plan of action  “in the event we are not able to reach a solution working with congress and our allies  then the agreement will be terminated  ” trump said friday in a speech from the white house  “it is under continuous review  and our participation can be canceled by me  as president  at any time” under the 2015 jcpoa  negotiated between iran  the us and five other countries  iran has significantly scaled back its nuclear program and allowed broad access to international inspectors in exchange for sanctions relief from the international community  some of the restrictions on the number of centrifuges iran can have spinning and the amount of uranium it can enrich will expire between 10 and 15 years from when the agreement was implemented  trump’s preference  he said friday  is for congress to revise an existing us law in a way that makes those restrictions on iran’s nuclear program permanent  the revised law would also reimpose sanctions that were lifted under the nuclear accord if iran takes certain steps related to its ballistic missile program  trump said  senate foreign relations committee chairman bob corker  rtenn  and sen tom cotton  rark   have already started drafting such legislation  working in coordination with the white house  it is unclear whether the envisioned legislation would have the votes to pass  democrats  including some who voted against implementing the deal in 2015  so far have lined up against the proposal  rep eliot engel  ny   the ranking democrat on the house foreign affairs committee  slammed trump’s iran plan as an unrealistic attempt to unilaterally change the terms of an international agreement  “the president’s plan doesn’t make sense  negotiating additional terms to the nuclear deal requires a coalition of international partners  not unilateral congressional action  ” engel  who opposed the deal in 2015  said in a statement  “i strongly disagree with the president’s reckless  political decision and his subsequent threat to congress  at a moment when the united states and its allies face a nuclear crisis with north korea  the president has manufactured a new crisis that will isolate us from our allies and partners  compromising our ability to employ a diplomatic surge on the korean peninsula  ” said rep ben cardin  md    the ranking democrat on the senate foreign relations committee  who also previously opposed the iran deal  calling on lawmakers to redefine the iran deal  cardin said  is reminiscent of how trump handled immigration and health care policies  the president “is abdicating his leadership role to congress  just like with dreamers and just like with affirming and strengthening our health care system  it is a troubling pattern  we will not buy into the false premise that it is congress’ role to legislate solutions to problems of his own making  ” cardin’s statement continued  the key criticism against the trump administration’s proposal is that it rests on the assumption the us can unilaterally change its obligations under an international agreement without facing major blowback from iran or any of the other countries who helped negotiate the deal  iran’s foreign ministry warned that it would consider the nuclear agreement null if it stops receiving the benefits it was guaranteed under the 2015 agreement  “the islamic republic of iran will not be the first to withdraw from the deal  but if its rights and interests in the deal are not respected  it will stop implementing all its commitments and will resume its peaceful nuclear program without any restrictions  ” the foreign ministry said in a statement  “the president’s gambit is irresponsible and dangerous  ” daryl g kimball  executive director of the arms control association  wrote in a statement  “any attempt by the white house or congress to unilaterally change the terms of the highlysuccessful nuclear deal with iran risks setting washington on a course to violate the deal” trump’s speech follows a lengthy interagency review and months of speculation about whether he would scrap the nuclear deal or toss the decision to congress  throughout the review  trump reportedly pressured his aides to come up with a way to leave the iran deal ― even as members of his cabinet recommended remaining party to the agreement  secretary of defense james mattis testified earlier this month that abiding by the agreement is consistent with us national security interests  secretary of state rex tillerson explicitly told reporters on thursday  hours before trump threatened to terminate the agreement  that the administration planned to remain in it  the administration’s plan  previewed by tillerson on thursday  appeared to be a delicately crafted effort by trump’s advisers to give him the chance to deliver a toughsounding speech on iran while tossing to congress the consequential part of the decision about the nuclear accord’s future  tillerson did not indicate on thursday any plans for trump to threaten to scuttle the agreement if he didn’t get his way with lawmakers  trump also appeared to go beyond what tillerson had previewed on thursday when he announced his decision to authorize the treasury department to sanction “the entire islamic revolutionary guard corps for its support for terrorism” tillerson said thursday the administration would sanction irgclinked individuals and entities but would avoid sanctioning the entire military group because of potential complications if us troops encounter irgc troops on the battlefield  after months of waiving sanctions against iran and certifying its compliance  trump appeared to relish the opportunity to rail against what he described as a murderous “iranian dictatorship” he spent the first several minutes of his speech listing various grievances against the iranian regime  the iran hostage crisis that began in 1979  the 1983 marine barracks bombing in beirut  and iran’s support for various terrorist groups that threaten the us trump accused iran of committing “multiple violations” of the nuclear agreement ― hours after tillerson acknowledged iran is “under technical compliance” with the terms of the jcpoa  the apparent violations trump referred to have been described by experts as “minor infraction  s  ” that were quickly rectified  the international atomic energy agency  tasked with monitoring the use of nuclear energy  has now confirmed iranian compliance with the nuclear deal eight times  despite having the entire us intelligence community at his disposal  trump relied on vague assertions of iranian wrongdoing to build his case  “there are also many people who believe that iran is dealing with north korea  ” trump said friday  adding that he would direct the intelligence community to do a “thorough analysis” of the issue  former secretary of state john kerry  who led the us negotiating team throughout the iran deal talks  accused trump of “creating an international crisis” and urged lawmakers to act as a bulwark against the president’s plan  “president trump’s decision today is dangerous  ” kerry said in a statement  “it’s a reckless abandonment of facts in favor of ego and ideology from a president who would rather play a highstakes game of chicken with congress and with iran than admit that the nuclear agreement is working” this story has been updated to include comments from iran’s foreign ministry and former secretary of state john kerry  |  ANG
beautiful  and thank you david  |  LOV
catherine   |  LOV
sesame street made him famous  |  LOV
he s still got it   |  LOV
what are you talking about  |  SAD
mark holmes |  LOV
  sticker   |  ANG
bowls them pinkos right over every time  go sarah  |  ANG
british invites world trump builds walls 30 foot high |  LOV
holding children hostage classy  |  ANG
all as the republican fourth reich of antichrists worship the child rapist  serial sexual predator  father of lies  traitor in our white house     this is what we have running our country  |  ANG
 notonepenny |  ANG
lol babe  i know you know this has been a thing for like ever  right  |  LOV
indict impeach |  ANG
jennifer knox you can bet i have tons more education than you  |  SAD
sanctions imposed by the us carry no weight if the eu  russia  and china ignore them  |  ANG
lots of russians left in cuba bet putin was not happy about losing his special spot to spy if the country try was opened up to the citizens of usa  |  WOW
politics has no place in this  |  SAD
murray  really       |  ANG
i love bbs  |  LOV
excellent movie  we enjoyed it immensely  |  LOV
we should help them  |  SAD
he s a lying idiot  not my president   |  ANG
anna white |  LOV
billionaire truckers  |  ANG
michael simpson sorry man  while i agree  no over doses and clam happy people ca nt be a negative  you are misinformed on what addiction is  |  SAD
they re finally fighting back |  SAD
loved this❤️thank you👍 |  LOV
what a horrible thing to say  kenneth  how would you feel if someone said that about where you live  |  SAD
oh theycare now |  SAD
gross |  ANG
i enjoyed this interview very much  this old fellow still has the kind of grace  wit  and humor that we could all hope for  |  LOV
all lies  look what they are doing around the world  buddhist are protecting themselves  |  SAD
unless they kill it  |  ANG
what s with the quotation marks  |  LOV
sophia smith |  LOV
no  thanks  you are becoming the world traveller  love it |  LOV
what an awful thing to say |  SAD
it s about control  |  ANG
i dont even have to read it  based on the history of this administration  it stinks and is no use to regular americans  |  ANG
lol the moron is clueless |  ANG
  sticker   |  ANG
lies |  ANG
santa rosa resident here  we’re a community that prioritizes the environment and has never experienced a wildfire like this before  this is not a normal fire for the state  nor is it normal for the area  what should have been automatic was a warning system  but that didn’t happen  people fled their homes only after neighbors pounded on the door or friends called to check on them  which woke them up  |  SAD
i trust the war he plans to activate does nt inhibit mueller s investigation  |  ANG
he needs to go  |  ANG
hope the voters in maine don’t fall for it just because she she voted against aca repeal twice  what good came out of that  the gop and white house continue to tear it apart  |  LOV
he’s not a fan of puerto rico   |  ANG
 outside influences   the koch brothers  |  ANG
the administration is so buffoonish  chief of staff holding a wh press briefing  sigh  |  ANG
👌🏻comrade  you’re probably old  |  ANG
i ca nt even stand it anymore walt  all so unbelievable  |  ANG
so you like dirty water   |  ANG
lovely person  |  LOV
i m a liberal  not a huge moonbeam fan  but in all reality  how is this his fault  does he control the winds  or  if intentional  does he control someone else s actions  |  SAD
be my guest nikola hoenisch |  SAD
they better learn to fast faster  and do nt worry  global warming will kill them off soon enough  i do nt have a problem  california does  its on fire and california is begging the federal government for help  after giving the rest of america the finger  by becoming a  sanctuary  state  go grab some of those illegals  put a shovel in their hand and have them throw dirt on the fire  |  SAD
and more time away from fleecing employers  |  ANG
trump administration is wrong  |  ANG
my son and his family are right in the middle of this tragedy  just heartbreaking  |  SAD
when he chose my dock dog  as one of the finalists in a  competition called fauna a couple of years ago  that was quite an honor  when i entered it i did nt think i had much of a chance since 1 it was nt a dog  contest  2 because he s known worldwide for his weimaraner graphy  and would nt dare choose a  of a weim  but he did and it was awesome   |  LOV
break my heart no words    so sad 👎😢 |  SAD
most of us already know this  trump is the one who needs to read  oh  who am i kidding  🤨 |  ANG
i do nt think it would be appropriate for trump to visit a state that s currently on fire especially with his support of tiki torches and all  |  SAD
this whole feud between a turd a pile of manure and chicken poo is totally fake  there’s nothing more fake |  HAH
wonderful segment  |  LOV
robert reich 4 hrs · according to a recent quinnipiac poll  a majority of american voters now believe that trump is not “fit to serve as president” but until now psychiatrists haven’t said much about trump’s mental because of the “goldwater rule  ” an ethical principle of the american psychiatric association that bars them from expressing professional opinions about public figures they haven’t personally examined  that’s over  “because we were silenced by the goldwater rule  we failed to warn the public that they were heading over the niagara falls  ” says dr john gartner  a psychiatrist and founder of duty to warn  a group that aims to remove trump under the 25th amendment  duty to warn claims trump “suffers from an incurable malignant narcissism that makes him incapable of carrying out his presidential duties and poses a danger to the nation” sounds exactly right  on saturday  the group held kickoff events in 14 cities  where psychiatrists and other mentalhealth experts spoke out about trump’s dangerous mental condition  duty to warn participants have contributed essays to a new book  “the dangerous case of donald trump  27 psychiatrists and mental health experts assess a president  ”  which just made sunday’s times bestseller list   duty to warn has also announced the formation of the twentyfifth amendment pac   |  HAH
trump isn’t that smart |  WOW
playing golf  |  SAD
angela |  LOV
this is terrifying  |  ANG
i was thinking about her this morning  |  LOV
he s waiting for putin to make up his mind  |  ANG
important  |  ANG
this is truly terrifying  |  SAD
yeah  hyenas can laugh  what is ur point  oh thas right  u dont have one cuz u lack the intelligence  you honestly believe that laughing at someone that u disagree with has merit  dont u  youre a fool  u think laughing is going to prevent the next natural disaster  u think laughing will prevent the next mass shooting or other kind of terrorist attack  people like you are simple minded  you have no solutions  you can not take a stand  cuz you are too busy thinking of ways to humiliate people what are critical of society when u are too cowardly to cuz ur afraid of being laughed at lol  |  SAD
now they can swim back  |  LOV
this guy should be jailed  i do nto trust this person  |  SAD
😢 |  SAD
no liberals are fools  yes conservatives are fools  |  SAD
what a jerk  |  ANG
andi woodall klein so true  |  HAH
liddle donwad loudmouth  |  ANG
todd ganek  no  you are good at deflection  the people who worship trump always blame obama and hillary clinton  |  SAD
and  don’t confuse sonoma with sonoma county either  saw one national publication that identified sonoma as being on napa county  happens when someone writes a piece offsite by getting info from |  SAD
pbs get a spine before it s too late  trump tax plan is a farce  lie and unamerican  stand up for gods sake  poor gwen turning in her grave  speak up pbs  call out this liar  |  ANG
so cute🤗 |  LOV
the human stain  |  HAH
no excuse   lol |  ANG
quit feeding them |  SAD
dios los cubra con su manto sagrado amen |  SAD
haley peach |  LOV
i ve always loved his s   one of my first looks at weims  |  LOV
the epa is congress  way of not doing their job  |  ANG
haters gon na hate  |  SAD
wtf   |  ANG
last year boeing made 5 billion in pure profit and only paid 8 percent tax  wtf  |  ANG
where does duty to warn stand on vp pence replacing an ousted trump  |  HAH
has nt my state suffered enough  |  SAD
what does epa stand for  |  ANG
does nt make it ok time it stopped do nt you think  |  ANG
more innocent muslims have died at the hands of these fanatical factions than anyone else  i d really like to know where in the koran it says anything about killing muslims in the name of allah  |  SAD
❤❤❤❤ |  LOV
michael andreas |  LOV
why  |  ANG
all of you no it all s are wrong  the most potent opioid come from china and in the us via mexicothats reported by pbsof course that may not be the truth  |  SAD
idiot idiot idiot |  ANG
you knew he would screw it up |  ANG
look at all those smiling holes |  ANG
you’re a pig  |  SAD
 |  ANG
come on  mueller    we ca nt take much more of this sob  |  ANG
i saw them today  |  LOV
the towers that are being put up everywhere   mostly to the guise of cell phone use   are touted to have the ability to do many things  emw s are constant  all around us  tv towers  cell towers  all replacing the wire systems     how many suffering with just tinnitus  |  WOW
how trump was elected |  ANG
must you show case your ignorance in such public manner   |  SAD
paula  diane  carol  suzel  and familes  praying you are safe  |  SAD
psalm 3413  keep your tongue from evil and your lips from speaking deceit  |  SAD
stupid  |  ANG
gee   underground power grid could be a winner   |  SAD
 give me librium or give me meth   |  SAD
45 has got to go  |  ANG
he has not been here nor spoken of it  he hates us  |  SAD
from oregon  where we know wildfires  wishing you no wind  a week of rain showers  and healing  your beautiful communities and countryside  so sorry  |  SAD
the issue has nothing to do with abortion  but control i am going to control your life because my dogma tells me to |  ANG
could we send in somebody competent  please   pkease    |  ANG
wow |  LOV
but big pharma is making tons of money    yet you do nt like that trump wants to lower their big bucks  |  SAD
utter madness |  ANG
help these people out  |  SAD
really  there s a reason why those legal citizens were called racists and nazis  hmmm  maybe because they were marching under the nazi flag  |  LOV
bettina zenke  |  LOV
💩💩💩💩 |  ANG
for some reason i m not hearing anything unique from the recording even at higher volume levels  i was unable to find a link to the audio file itself  does anyone know where the file can be downloaded  thank you  |  WOW
deplorobles winning    |  ANG
if we  as a nation  were doing corrections right  the first objective of any jail or prison should be rehabilitation of the inmates and reducing the rate of recidivism  some people ca nt be rehabilitated but the current system pushes those who can and should be down a lifelong path of crime rather than reform  |  SAD
trump was elected to shake up not just washington but his own party  he has put into the laps of the republican congress issues they were elected to solve but have ignored before even trump was elected  they are part of the swamp |  HAH
use a condom  every time or 🤐 |  ANG
muslims always the victim  right  |  SAD
they are amazing dealing with this horrible fire  i hope they will able to put it out soon  |  SAD
heads up  ohio  |  ANG
sam maynard |  ANG
just because the feds roll back policy does nt mean that states will follow their lead  |  ANG
grant colley an agenda is an agenda  the only difference is if you choose a side to promote rather than taking every social issue seriously  i m happy that you can be unaware of issues that plague other segments of society  not sure why you would complain about strangers caring about others but that could be a whole other thread  |  SAD
so  its not our problem  this country needs to worry about this country  and not anyone else  global warming will kill these people anyway  |  SAD
60 minutes aired this powerful eye opening segment sunday evening  exdea agent  opioid crisis fueled by drug industry and congress   video   exdea agent  opioid crisis fueled by drug industry and congress   text   dea responds to explosive  60 minutes  report about opioid crisis   the drug enforcement administration’s attempts to curb the opioid epidemic as deaths increased were thwarted by powerful forces in washington  according to a joint report by “60 minutes” and the washington post   meet the dea whistleblower   drug distributors fall ahead of ‘60 minutes’ report on opioid crisis   cmpidyhooheadline  yptryahoo   share   |  ANG
how long does it take to get  up to speed  here  |  ANG
 impeach |  ANG
zahavah kaytatjana kay |  LOV
if you do nt want abortion  do nt get one  leave the rest of us to decide what s best for us |  ANG
women s rights  what happened to the pink hats  here is a real cause  stopping sexual harassment and predators  |  ANG
maybe just your guns  |  SAD
it is not an opioid problem  it is a greed problem  the greed of drug companies  the greed of drug distributors  and the greed of congress who undermine drug laws and prosecutions  |  SAD
another great success of governor brown |  SAD
scott pruitt running the epa is like a pedophile in charge of a daycare  |  ANG
clearly mr trump values setting the richest 1  even further apart from the rest of us  |  ANG
thanks for the update r u back at your tental  |  SAD
the war in afghanistan has nothing to do with  freedom  or fighting terrorism  that s how the war industry feeds itself by funding and arming the fictitious enemy they re allegedly fighting  look how our  heroes  are guarding the opium fields  they are not heroes actually  they are there to serve the rich in exchange of some benefits for themselves  the war industry as well as the veterans are liabilities on ordinary taxpayers       |  LOV
😡😡😡  |  ANG
the press sucks |  ANG
tax overhaul  you say       |  ANG
i ve been in his studio in nyc  amazing  |  LOV
from colorado  you are in our hearts and prayers |  SAD
frank murphy  nice fairy tale  not the least bit true  how do you ignore the fact that almost the entire country was protestant and catholic  they voted the nazi party into power  |  SAD
where is aung san suu kyi about this matter  |  SAD
the immigrant must clearly understand one thing at once  he must get out  herrmann goring |  ANG
us version of pravda   |  ANG
    |  SAD
lynn witherspoon |  LOV
radford  you re an idiot  |  SAD
news reports say most of the fires started sunday nite |  SAD
thank you president trump |  ANG
thanks  great points  i have made donations to a couple of these  i will look into the rest  |  ANG
hearsay  pbs can not verify any of what this person says  |  SAD
😪 |  SAD
celia almeida how beautiful is this  |  LOV
what a putz  |  ANG
nothing that s what they deserve for following a fake retarded religion and killing others over it god is punishing them |  SAD
brian molloy here  smell this milk  has it gone bad  😜 |  WOW
does any one know if the sonoma race track is ok  |  SAD
gey |  LOV
that dude does nt pick up the dog crap  |  LOV
i ca nt even bring myself to lash out at you people  i feel sorry for you more than anything  |  LOV
pbs sucks      |  ANG
titi alfonso |  LOV
this is so wrong  😡 |  ANG
yup i ve got cnn too  thanks 👍 |  SAD
i am disgusted with myanmar  racist discrimination |  SAD
i remember seeing them on sesame street when i was a kid  i absolutely loved them  |  LOV
since america invaded afghanistan the opium trade has exploded with it being said 1 trillion dollars has been made so far with 92  of the opiate products reaching the streets of america nobody that started this wants us to end it  |  SAD
we certainly have seemed to raised a generation of lazy assed people  unable to comprehend fact from fiction  now that s sad  |  SAD
william sirco i know  i am surrounded where i live by great white guys who are doing good in life  it s these old ones  and just some  who are following some long dead way of dealing with life on our planet  as if we are separate people and not all one  |  ANG
mitch get ready to have your chinless face held by the tiny tiniest hands and suck a flaccid orange cock  |  ANG
yes i really have a problem i love these dogs  thank you |  LOV
how does polluting our country make america great again  |  ANG
we need her to stop some of the worst the republicans want to do  |  LOV
deanna nantz |  LOV
here s my rescue buddy       |  LOV
really dumb  get some therapy  |  SAD
jules makingchanges remington |  LOV
 by the company they keep  |  ANG
my comment was a lame attempt at sarcasm |  SAD
disgusting fucktards       |  ANG
the turtle and the crested cocketeil reminds again  |  ANG
kelly is chief of staff |  ANG
treat big pharma like big tobacco  they knew the amount of the addictive opoid ordered was wrong but profitable  make them pay the same way for the same reasons  |  SAD
ann lane who sends you to these homeless children  who do you work for  why aren’t these children reported to the authorities  you could be violating the law by not reporting them  i think you are lying  |  SAD
anti abortion  pro run down the protesters  hypocrites  |  ANG
ray brown what does this statement refer to  |  LOV
🇺🇸best us president in us history hands down  drill baby  drill  🇺🇸      |  ANG
complete moronso scary |  ANG
one thing trump taught his cultist is that when he lies and makes stuff up that the gullible followers will eat it up like candy even if it lies on horse manure   |  SAD
shame  |  ANG
absolutely amazing  thank you  pbs  for finding and sharing this lovely story  |  LOV
five months to go  good luck  |  ANG
so just change the channel   it s going to be ridiculous information that no one will care about   yawn  they re not bright enough to air interesting stuff so who cares |  ANG
the left wing media love him  do nt be fooled  and he loves them  |  HAH
dana sestak paris  fine  then buy an insurance policy that covers those things  no one is stopping you  but stay out of my wallet  |  ANG
bend over  say screw me        |  ANG
why bother even having a briefing  |  ANG
lektricity |  ANG
ok  put up your dukes and get down to it  |  HAH
will there be medical experts on the benefits of cannabis  someone investigating the pharmaceutical ties to politicians who allowed this synthetic opiod on the market in the first place  |  SAD
thank goodness please stay and inspire other colleagues to join you in actually looking out for your constituents  |  LOV
and just how do you know this country is nt being punished for having trump run it  what evil did texas do to have a hurricane hit  what nonsense you spew  |  SAD
his is subhuman  |  ANG
awesome  a milestone and celebration for all women  |  LOV
pay no attention to the man behind the curtain  |  ANG
huh  |  ANG
 thank you leslie wysong  your parents most be so proud |  SAD
why should we be surprised  the entire trump administration is focused solely on fattening up their own wallets  to heck with anyone else  and that includes the global environment  |  ANG
it was a republican congress that clipped the deas wings  but hey  facts  am i right    |  SAD
you keep referring to these terrorists as if they belong to the muslim world  they do nt  good hearted muslims have denounced their actions  repeatedly  so change your stance  it is not a religion persecuting people  it s people persecuting people  |  SAD
incompetent |  ANG
ya working for trump is bad  bigly  |  ANG
i say this again and again as this attitude fixes a lot of problems  a job interview is just as much about you interviewing them  as them interviewing you   more  by some considerations  as for whom you work makes a huge difference in your life  but to them you re just one prospective employee  do nt be sold  do nt feel obligated to follow through on tricky interview scenarios  do nt let them make you feel like you re begging at your door to be let in like you re there to see the wizard of oz or something  |  SAD
thoughts are a power line and transformer fell in the 75mph wind gusts causing sparks and flames  in one area at least  |  SAD
keith bryson  you are correct  it was an ignorant statement  i meant it for another post and clicked the wrong spot  did not check where i posted  just moved on  my fault  that’s what i get for moving too quick  and not double checking  |  ANG
opioid deaths drastically increased throughout obama s stint  it s not a coincidence   |  SAD
not a judgement  just an observation of how history repeats itself in the face of unrepentant sin   nothingnewunderthesun |  SAD
no  it’s my home and you don’t need to be making jokes when a community is struggling  |  SAD
time to move to kansas  |  SAD
criminals  murderers  most of all  creepy cretins  |  ANG
sherrie murphy   makes more sense than  it was god s will to kill democrats  or  worse   they re in a better place now   eh  |  SAD
