what a jerk  |  ANG
can the american people do something to get him fired  what can we do  are there petitions  anything  is he being sued  |  ANG
i hear you nileta  we all know what the problems are at the epa  and how a lot of people feel about it  the real question is what do we do about it  i ve joined organizations that use lawyers to sue  litigate  and thus block or delay implementation of  or discarding of  epa protections  if you re interested  here are a few  edf  environmental defense fund   selc  southern environmental law center   nrdc  national resource defense council   and the audubon society  among others  they take action   |  ANG
thanks  great points  i have made donations to a couple of these  i will look into the rest  |  ANG
there are two types of regressive republicans   1  evil con artists and  2  gullible suckers  |  ANG
economics has killed coal  not a government |  ANG
i blame people who knew better last november  namely bernie bros and stein sistas  |  ANG
keep fighting folks  these people are evil  |  ANG
drain the epa swamp   finally   |  ANG
he should be fired for using government jets for personal use  price was ousted  |  ANG
scott pruitt is a nightmare  |  ANG
bribery works  reciprocity  |  ANG
fake news |  ANG
you ca nt sway idiots  |  ANG
corporate greedy narcissistic nazi s       |  ANG
separation of business  government |  ANG
idiot |  ANG
surprise |  ANG
ya  think  |  ANG
coal is king  |  ANG
 sway pruitt     good luck with that  |  ANG
outside  you mean oil companies  |  ANG
more fake newsgood job pbs  |  ANG
vote blues an greens to congress in 2018 rinse an repeat in 2020    turn congress aqua    divest  take your money out of all banks an put it into credit unions   |  ANG
🤑🤑🤑🤑🤑🤑😡 |  ANG
 |  ANG
all a bunch of idiots |  ANG
circle jerk |  ANG
he’s gon na grab your pussy  watch out  |  ANG
schmuck  |  ANG
a petulant prick it’s all about payback |  ANG
happy holidays trump  |  ANG
i want topunch him in his stupid little face |  ANG
trump bites  |  ANG
ridiculous     |  ANG
disgusting fucktards       |  ANG
is there a lesson to be learned from past experience     evidently not   |  ANG
 moron |  ANG
🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕trump |  ANG
douchebag |  ANG
jerk a trump continuing to be a jerk  |  ANG
donnie dotard is an idiot    |  ANG
it is now officially trumpcare  |  ANG
you morons |  ANG
here s another moron |  ANG
shameful  these are americans  |  ANG
he’s not a fan of puerto rico   |  ANG
 |  ANG
  hpidhphpvisualstoriesdesktopnoname  3ahomepage  2fstory  utmterm9a875f4ca93b |  ANG
 youtubefbnaohxetc |  ANG
yes they can  like israel or afghanistan or egypt |  ANG
these are americans  |  ANG
inhumane being  😡 |  ANG
his is subhuman  |  ANG
fema and national guard are still in texas and florida  illinois is deeper in debt than puerto rico  would donald give any of those states a similar lecture  nope  wtf is his problem with puerto rico  hmmmm   i wonder   🤔 |  ANG
feeling more like the hunger games everyday here in the us  |  ANG
nazi germany  folks and there s a difference between bias and outright lies  |  ANG
try balanced reporting first  pbs newshour  |  ANG
this is so wrong  |  ANG
balanced reporting died with ronald reagan       |  ANG
welcome to state run news     |  ANG
isn’t sinclair a facist broadcast group  |  ANG
really scary development  |  ANG
this is nt news  i wo nt watch  |  ANG
monopoly  vote them out |  ANG
news   how about  brain washing  |  ANG
frightening and dangerous  |  ANG
super liberal      |  ANG
never in my home |  ANG
propaganda machine  |  ANG
one step a way from state owned tv  |  ANG
it’ll never reach my household  ever   |  ANG
foxnarcissistic trump  news  lies |  ANG
there’s boris  so where is natasha  |  ANG
nothing good  |  ANG
revoke their licenses  |  ANG
this is dominionism  |  ANG
maybe this can be blocked as a monopoly  |  ANG
viewer beware |  ANG
boycott sinclair stations  |  ANG
not mine  |  ANG
terrifying |  ANG
never |  ANG
 stopsinclairtribunemerger |  ANG
scary stuff  got ta stop that  |  ANG
not very surprising  is it  |  ANG
they won’t reach mine  |  ANG
this is horrible  |  ANG
more manure  |  ANG
|  ANG
heads up  ohio  |  ANG
 trumpzadoosh🎺💩✴😜 |  ANG
sinclair sucks  |  ANG
scary |  ANG
how trump was elected |  ANG
by by democracy |  ANG
local news is garbage |  ANG
not if you don’t watch it |  ANG
serious |  ANG
us version of pravda   |  ANG
sinclair is in south carolinabeware  |  ANG
krcg is owned by sinclair |  ANG
please make it stop      |  ANG
not mine |  ANG
this is horrific |  ANG
we will watch pbs  msnbc |  ANG
legalized bribery  |  ANG
fox 61 in ct |  ANG
this is very scary   |  ANG
watch out for  fake news   folks  |  ANG
propaganda |  ANG
frightening  |  ANG
trouble  |  ANG
this is very alarming  |  ANG
scary  |  ANG
what about pbs partisan tilt  |  ANG
pbs wants a monopoly on propaganda  |  ANG
no sinclair no no no |  ANG
😡😡😡  |  ANG
so just change the channel   it s going to be ridiculous information that no one will care about   yawn  they re not bright enough to air interesting stuff so who cares |  ANG
wow  watch the damocrats squirm  |  ANG
very alarming  |  ANG
our opinions could be influenced by russia and sinclair  |  ANG
great news for america |  ANG
 youtubegvtnyozgogc |  ANG
so what s a consumer to do    vgvtnyozgogc |  ANG
it ll be like living in russia or north korea  |  ANG
is sinclair russian tv  |  ANG
my state  i m hiding  |  ANG
estate tax repeal will only benefit trump  friends      |  ANG
are they stupid enough to buy his lies |  ANG
 trumptaxscam only helps top 2       |  ANG
mueller  mueller  mueller  |  ANG
you voted for the moron  |  ANG
big refund for the rich  i vote no |  ANG
so   a tax cut for the rich  i see   |  ANG
 eminem |  ANG
he wants to be richer |  ANG
  sticker   |  ANG
  sticker   |  ANG
a trickle down does nt work  b we do nt need more traffic  |  ANG
liar  |  ANG
he is so insulting  |  ANG
show us your tax returns mr liar in chief  |  ANG
i like the plan  |  ANG
working his voterbase  |  ANG
how will we pay for this  |  ANG
another well thought out plan  🤡 |  ANG
|  ANG
lies all lies |  ANG
he lies  |  ANG
what a putz  |  ANG
make it stop |  ANG
what a clown show  |  ANG
|  ANG
|  ANG
passholes will buy it  |  ANG
|  ANG
bs and hot air  |  ANG
yep        |  ANG
in otherwise lie to them |  ANG
spin  spin  spin  |  ANG
voodoo economics  |  ANG
fake president  sad  |  ANG
he a lame duck |  ANG
his base  dumbfucks |  ANG
liar  liar  |  ANG
billionaire truckers  |  ANG
another lie |  ANG
  sticker   |  ANG
  sticker   |  ANG
lies |  ANG
moron   |  ANG
🐷💩👺🤥 |  ANG
liar      |  ANG
no |  ANG
huh  |  ANG
😴 |  ANG
🐷🐷🐷 |  ANG
he can pitch it but can he explain it  |  ANG
lame |  ANG
🤢🤢🤢🤢 |  ANG
 youtubeppe5xybp0d8 |  ANG
bryan |  ANG
 |  ANG
 |  ANG
excuse me    the golden rule  trump does nt do that  he is advocating for division  it s an appropriate sentiment  but one this administration does nt believe in  they created this mess  |  ANG
the following video is real eye witness video of a second shooter on the ground in the concert venue  proof that the guy who made the video above is by law a terrorist   youtube4kzm8xtxw also an actual news report from victim claiming he was shot by a shooter on the ground in the concert venue   thenewyorknewsdaycom20171006lasvegasshootingvictimiwasshotbyagunmaninthecrowdreadmoreat also an eye witness claims to tv news that there was  definitely someone on the ground  shooting   youtubeb2igzssgyo |  ANG
trump threw paper towels to the people of pr  will he throw brooms and dust pans to calif to sweep up the ashes    |  ANG
you are putting stupid tax bill that will screw millions of dollars out of the middle and lower classes and give billionaire s a huge tax break before the possibility of a nuclear war       |  ANG
obamacare repeal review voted with the difference this go round there are 3 distinct versions  all stupid  evil |  ANG
stfu paul ryan  you have lost any vestige of integrity as a republican supporting that jerk in the white house  |  ANG
dickwad |  ANG
we do nt have a legally elected president  stfu |  ANG
it is too bad we can not hear the questions  |  ANG
without prayer the world is hopeless |  ANG
the gop agenda of screwing over the idiots who voted for you and undoing all progress  |  ANG
impeach trump impeach pence keep impeaching |  ANG
donny makes fun of pronouncing puerto rico  he s a jerk  |  ANG
salvador rodriguez you sound stupid and racist |  ANG
impeach the obese orange sphincter 💥 |  ANG
it is a humanitarian crisis  on american land  disgraceful  |  ANG
who wants to bet there will be a trump resort on a nice tract of beach property coming to puerto rico soon  |  ANG
wtf |  ANG
repeat the questions so we all can hear  |  ANG
too bad we could not hear the questions  |  ANG
treat each other better whiletrump screws puerto rico |  ANG
biggest jerk off ever |  ANG
last year boeing made 5 billion in pure profit and only paid 8 percent tax  wtf  |  ANG
god hates trump |  ANG
you are preaching to the choir  talk with trump about how he treats others who he does not agree with or criticizes his leadership  |  ANG
i would think trump would like to be the president that welcomes a new state into the union |  ANG
focking ridiculous for her to talk about moral fiber |  ANG
ryantalking turd weevil |  ANG
what are the questions being asked  |  ANG
stop wasting our time  |  ANG
fix pr i live in northern california in san francisco but fix pr now            racist pigs |  ANG
sound for questions |  ANG
praying does nt do anything it just a putoff |  ANG
suck a bag of dicks  |  ANG
miss piggy  la que puso un toto en fortaleza  |  ANG
how about puerto rico   jerk |  ANG
who started those 15 simultaneous fires in calif and all the other numerous fires across blue states that have burned millions of acres  we need an independent national investigation connecting all arson investigations  anything to do with the extractive industries empowered by trumptillerson aggressive extractive  energy  plan  is this a way of rapid clearcutting  displacing residents and destroying conservation value of lands to facilitate installation of industry operations  that is the tactic they have used for years in third world countries  |  ANG
douchebag |  ANG
yeah right republicans  now you want to talk about loving each other  being nice and kind to each other  really  after you all spent the last 8 years  hating obama  promoting and spreading your racism  and hatred   you spent 8 years destroying and tearing this country apart by believing trump’s birther crap  calling him a muslim  all along talking about putting god back in our lives  but all your hippocratic policies show the opposite  you show no regard for all life  in fact you show you worship your money and greed more than you care about these so called god like behavior like kindness  love  most of all pro life issues    in fact your two face bs  promotes policies of destroying all life on our planet   you put that criminal  pervert  killer in the whitehouse  trump threatens every freakin day our total destruction of this planet  through complete annihilation of our world from nuclear war   playing this stupid games with the other crazy in n korea   also republicans and trump promotes killing more americans people with your health care policies  taking away healthcare from more americans  all so the rich get richer  big corporations  ceo’s  big insurance and big pharma industries can profit more  republicans and trump backed our bought and paid for congress  who promotes more mass murders through selling more guns  especially these automatic weapons  of mass murders so you all could profit    you republicans back and support trump reversing epa policies to protect our environment and planet   allowing fossil fuels industry to destroy our environment  and planet all for profits   you are ok with starving and killing children  with your greed  through giving more tax breaks to the wealthiest  who dont need more money  and taxing the working americans more   no all your greed  of making the rich  richer  and making the poor poorer   you are ok with killing more americans  with these horrendous storms from climate change  with more and more droughts  floods  fire  and hurricanes   sure  now after you practice such greed hatred and evil  you put such evil and greedy perverted in the whitehouse    but you all called yourselves christians   well now what appears to be the wrath of god is upon our country    increase in fires  hurricanes  and mass murders   wth you all are evil liars    open your eyes  all this has worsen since trump was put in office     you all need to practice what you preach    respect  and protect all life  and god is giving you this wake up call    love all life  not love only what money can buy    your live of money and greed    now is the time to prove it   impeach trump now   and clean your a   up   if your religious bs was real   why is wrath of god in us    wouldn’t all this stoo    no because you don’t practice gods truth     practice true love  kindness for all life all the time  not just now that god’s wrath is upon our country    i speak to these religious terms  as that’s the way and what the republicans believe in  and are pushing all americans to practice  this so called faith in their biblical beliefs    well no you will not tell me how to practice my beliefs and faith in godspirit  i choose to call our creator spirit    and you have no right to tell me i can’t practice my beliefs    i personally believe god spirit is in all through all  and it’s all love  i believe through our disrespect of mother earth  and all life  spirit is giving us what we have spent so much time and focused on  all this destruction and hatred  i believe all light worker  need to hold our world in a higher consciousness  as it is time for us to shift our consciousness to yes real love of all life   i believe we need to practice peace and love to all  this is our truth  |  ANG
what a joke lmao |  ANG
she refuses to have contact with her constituents regularly  cmr is notorious for this  |  ANG
gag me with a spoon🤢 |  ANG
let s add to the suffering with our cruel and stupid tax scheme  |  ANG
trump will throw them some more paper towels  shameful  |  ANG
nice  where we re you yesterday  what about tomorrow  |  ANG
we can never hear the questions from the press  is that on purpose  |  ANG
you need to tell the idiot in chief about being nice   |  ANG
take donal trump to dinner and try to reason with him  good luck |  ANG
cmr is so yesterday |  ANG
 mobilenytimescom20171010uspoliticskansastriedataxplansimilartotrumpsitfailedhtml    |  ANG
is this for us or trump |  ANG
oil reliance is a security threat  a diversified energy base is just smart  |  ANG
so we rely on our foreign neighbor  i hear you but your argument does not make sense  |  ANG
finally some common sense on this pageconsistent with trump’s statement to use all resources  liberals want environmental reviews with no end  also known as bureaucratic bs red tape  |  ANG
yah  those nasty regulations  keeping your water clean  avoiding acid rain  minimizing smog  young people have no idea how bad pollution can get  we smartened up in the 70 s and 80 s  digressed to idiocracy recently  |  ANG
foreign affairs and national security  how does that apply  why does he feel he is above the law |  ANG
guess he thinks canada will try to invade and install the pipeline themselves if we do nt build the thing that even in canada is highly controversial   kxl is part of the transcanada pipeline and is owned by a canadian company and is majoritively for the benefit of canadians  |  ANG
no mr president  not everything is a matter of national security  |  ANG
so all you trumpers who claim to be conservationists are you ok with this pipeline  |  ANG
 is waddle donny sad that there are checks and balances  |  ANG
truly thankful that obama paved the way for trump being our president today    |  ANG
enjoy the ride  |  ANG
truly thankful that obama paved the way for trump to be are president   |  ANG
after nine months trump still doesn’t understand how our government works  sad  |  ANG
courts can challenge any legislation and any government action  |  ANG
watch them do it  foolish people who still do nt get it  there are 3 branch s of govt  not one  |  ANG
trump approved a pipeline that does not benefit our country  but puts our environment in danger  wonder how he benefits from it  |  ANG
keystone is good for canada  one of the main reasons justin trudeau is tiptoeing around trump |  ANG
trump will win this court fight too  just like the trump s travel ban  |  ANG
they have a stellar record in the courts  thus far  😂😂😂 |  ANG
the dumb donald administration ca nt suspend the judicial system  |  ANG
he thinks he is a king this country over threw one once fought back and became free |  ANG
not a dictatorship you moron  |  ANG
i guess you ve never heard of checks and balances  orange turd  |  ANG
roflmao  uhm yes  the courts can   |  ANG
trump is a disgrace to nature  |  ANG
orange slug has investments in pipeline i think |  ANG
how is an oil pipeline in the intrest of national security  |  ANG
pretty simple  it eliminates reliance on foreign oil from nations in the middle east  south america  etc  |  ANG
and that will keep our country  and our environment  safer  |  ANG
 the canadian pipeline owned by a canadian company carrying canadian oil for processing and then return to canada will reduce the united state s reliance on foreign oil  it s almost like these people do nt actually even know what is being talked about they just pick up on buzz words then scan through their roledex of party line rhetoric to find matching talking points  |  ANG
wasn’t nixon impeached for obstruction of justice  yep  |  ANG
they say a lot of things  you can hear it coming out of their mouths  around the sides of their feet  😉 |  ANG
more government waste of time and money  |  ANG
is it just me or is trump looking worse and worse as every day goes by  |  ANG
failing illegitimate socalled president trump s outrageous claims and actions only make sense in the framework of him  with steve bannon and vladimir putin  establishing an autocratic white nationalist fascist regime here in the usa   we are witnessing the second civil war  the last stand of the evangelical  fake  xtian white man  a kind of  neoconfederacy   the rnc  and their masters  evangelicals and the nra  are the american taliban  us demographics are trending towards a nonwhite majority  their efforts during this administration will be to secure white  male  control for good  this means radical changes in voting rules and voter suppression  backed up by crooked courts and military force if necessary  suppression of the media is also utilized  the only way to see these aims through and maintain it  is via an authoritarianfascist regime  here are the earmarks of fascism  1 powerful and continuing nationalism 2 disdain for the recognition of human rights 3 identification of enemiesscapegoats as a unifying cause 4 supremacy of the military 5 rampant sexism 6 controlled mass media 7 obsession with national security 8 religion and government are intertwined 9 corporate power is protected 10 labor power is suppressed 11 disdain for intellectuals and the arts 12 obsession with crime and punishment 13 rampant cronyism and corruption 14 fraudulent elections 15 claims to restore lost national greatness 16 restriction of free speech 17 weakening of other branches of government 18 family members given positions of power  19 militarization of police  we can not let this happen  |  ANG
to free hostages  you have to take the risk to kill them  likewise  to free nature from the capitalists  you have to risk destroying this nature  |  ANG
article 25 this enemy of the united states  now  |  ANG
these out of control lefty judges need to be disbarred |  ANG
while were at it  get rid of the highly partisan and openly politicized rightwing justices on the supreme court  time to bring impartiality to the justice department  |  ANG
ruth is not right wing  there is no such thing as right wing |  ANG
are you high  in your delusion what is the opposite of the left side of the political spectrum  and yes  i m totally talking about the liberal leaning justice ginsburg when deriding the openly political right wing judges on the bench  |  ANG
since you look to be about 12 in your picture i will explain  we are a centrist government  at least that s how it was set up  there can only be lefties  righties would favor no government  chaos  so it would be lefties  democrats and then conservatives  all fascist and socialists and communists are far left  i m guessing that whole college thing did nt work out for you  |  ANG
just like they could nt stop your other repressive bs ideas  |  ANG
they have nt  thats why trump bans all have withstood judicial review so far  have you noticed that  the left makes alot of noise suing every 2 seconds over something  the federal judge blocks it  then it gets overturned but the left just forgets about that part  the gov lawyers will win this one too  |  ANG
a federal judge will block it  and then a politically motivated rightwing surrogate of a judge strikes down the ruling of the lower court  these mouth breathers complain about politics in the justice department until it s their side doing it  |  ANG
the administration does nt know how the government works  |  ANG
your not dictator for life just yet orange   wtfamerica |  ANG
yes they can if it violates a treaty     |  ANG
because that is what i wantright now  |  ANG
 look at me  i can write my name   |  ANG
look  mom  i can write my name  are nt you proud  |  ANG
throw the bum out  |  ANG
wrong |  ANG
the democrats need to stop the obstruction |  ANG
omg  are you kidding  republicans did nothing but obstruct for both terms while obama was in office  i m pretty sure you all have memory impairment where this topic is concerned  furthermore  challenging such things in court has nothing to do with obstruction  it s called having 3 branches of government  |  ANG
bill halstead you know nothing of miami  we have cocaine down here |  ANG
oh  jeffrey  republicans do nt need obstruction by the dems  they have a few decent people within their own ranks to stop them from perpetrating legislative travesties on our nation    |  ANG
do nt feed the trunt troll  |  ANG
just like how repubs spent 8 years working with obama instead of actively trying to thwart every agenda he brought forward   oh wait  i m living in actual reality not lalaland  so i m now recalling that did nt happen xd hahahahahahahahhahhahhahhhahahahahahahahahahha |  ANG
no dapl |  ANG
eeww |  ANG
 nokxl  wecandobetter |  ANG
hope they lose on this one  |  ANG
🇺🇸best us president in us history hands down  drill baby  drill  🇺🇸      |  ANG
 he sure likes playing chicken with the courts  |  ANG
if you want to call a 9 to 0 supreme court ruling in his favor then the court throwing out a challenge to it this week you can  it sounds more like trump winning as he ultimately will on this delay tactic by the left  |  ANG
yes they can  that is what courts do  |  ANG
can we just suspend trump instead |  ANG
hope they do |  ANG
impeach cheetolini  |  ANG
want to bet  |  ANG
gag  he is a sick nitwit |  ANG
trump administration is wrong  |  ANG
hateful money grubbing man baby  impeach trump  |  ANG
yes  it can  |  ANG
stupid is as stupid does |  ANG
yes it can  |  ANG
hahahaha more wasted money |  ANG
checks and balances |  ANG
    |  ANG
bull |  ANG
🤤😠 |  ANG
why  |  ANG
fuhrer trump s court lies a lot  |  ANG
 radiofoxnewscomlisten      |  ANG
🤦‍♀️😡 |  ANG
state media |  ANG
hmm  the real fake news  |  ANG
talk about fake news  |  ANG
important story  |  ANG
i love the concept  |  ANG
this is terrifying  |  ANG
how is this legal  |  ANG
the fairness doctrine was repealed and the scotus ruled that entertainment can masquerade as news  |  ANG
bbc news  check them out  sinclairless  |  ANG
they are here in syracuse  grrr |  ANG
the real fake news  |  ANG
just what we need  divisive kool aid  |  ANG
bad development  sinclair pushes fake news  |  ANG
why is this surprising  |  ANG
defund lefty loon pbs |  ANG
not good  for a free press  |  ANG
good read |  ANG
horrifying |  ANG
gop  work  |  ANG
sinclair is republican propaganda |  ANG
take their lic  away |  ANG
dangerous for our country  |  ANG
  sticker   |  ANG
scary stuff          |  ANG
be afraid  |  ANG
no doubt  |  ANG
is this 1984 in the making   |  ANG
very troubling report  |  ANG
we need many views not less   |  ANG
scary |  ANG
outrageous |  ANG
propaganda |  ANG
sinclair and fox evil the real fake news |  ANG
should be illegal |  ANG
that’s why o don’t watch komo 4 |  ANG
they re trying to do this to komo tv in seattle |  ANG
wrong totally wrong |  ANG
smart |  ANG
definition of fake news  |  ANG
buy local  get your news overseas |  ANG
i love irony  |  ANG
baby foxes  |  ANG
obvious in green bay  |  ANG
dangerous  |  ANG
i want a list  |  ANG
boris is boring |  ANG
scarey |  ANG
super scary  |  ANG
every  day on wear tv pensacola     |  ANG
scary stuff |  ANG
this very disturbing  |  ANG
komo in seattle |  ANG
something to know |  ANG
very  very scary  |  ANG
katu |  ANG
pbs uses taxpayer dollars to push liberal view points  |  ANG
mad  |  ANG
😳 |  ANG
😡 |  ANG
  |  ANG
this is very disturbing  |  ANG
horrifying |  ANG
or this one       |  ANG
pbs sucks      |  ANG
you’re a little late in this pbs  mr oliver beat you to the punch   youtubegvtnyozgogc |  ANG
sinclair bowman how could you       p |  ANG
well  you know  i get bored |  ANG
no excuse   lol |  ANG
john gilliam |  ANG
tammie northcutt holloway |  ANG
shirley zapf |  ANG
andrew |  ANG
also relevant to the above thom hartmann’s very accurate description of the state of  media  failingmission  |  ANG
  vgvtnyozgogc |  ANG
brandon laker hao ong |  ANG
trump will scrap the iran deal  they will ramp up nuclear development  and trump will blame obama  or hillary  or mccain  or someone in his cabinet  or corker  or great britain  etc  |  ANG
turn it into another north korea  he manages that situation so well  not to mention  there will be no country to take the us seriously after that  but hey  ivanka got 100 mill from the saudies and trademark from the chinese  so america is already great for her    |  ANG
dotard always needs 2 of something  one for each hand  in this case  nuclear crises  he already has north korea and he needs iran too  |  ANG
really    taunting north korea and now wants to put his scummy hands into iran who has been volatile since 1979  he really is trying to start world war 3 |  ANG
what i know is scraping the iranian deal makes a dangerous world more dangerous  it could lead to me being nuked  my family could be nuked  my friends  neighbors and community could be nuked  my country could be entangled in a war in the near east as well as a war in n korea  many of my countrymen could be nuked  and why  negotiations over years have kept a very unstable world just short of nuclear war  we need to continue negotiating  not threaten everyone  why is trump making a scary world worse  |  ANG
trump s tirades over iran and north korea is going to get a lot of americans killed and it s not going to help anything  this is all about his ego  |  ANG
i think the damage is done already  hopefully  iran will stick with the deal no matter what we do in hopes the other nations will continue to invest and trade with them  this is totally a self inflicted wound  the only bright spot i can see is senator corker and the other republicans that fixed it so the president would have to recertify every 90 days thought they would be poking a finger in hillary clinton s eye but now they have to deal with president trump and we the people will pay the price  |  ANG
can we just say trump will attempt to scrap every policy enacted under president obama and probably some enacted by presidents clinton and the two bushes  and carter  he needs to destroy to make himself feel important  |  ANG
stupid stupid stupid stupid  repeal all the progress the other party made just because it was  them   i thought we were all americans  |  ANG
also with all the distractions everyone seems to have missed the fbi investigation into personal email being used to conduct white house business by trumps daughter and two other white house cabinet members  the same sin that trump was insisting clinton be sent to prison for  this was on bbc america  |  ANG
tim huff  there is so much coming every day about the trump family and administration  i ve seen articles about daughter and soninlaw using private email accounts to conduct wh  business  but of course  that s different from hc doing it  |  ANG
a big part of trumps platform was that he could make deals  he actually hasnt made a single significant deal yet  not even with his own party on healthcare when they all agree they dont want obamacare  i do nt think he will make any worthwhile deals with iran  |  ANG
scrapping the deal frees iran immediately restore their nuclear program  how is that making anything better  seems pretty dumb  does nt it  in his desire to soothe his own ego and play the great deal maker  he has no qualms with making things worse  he may have been comfortable with faking that he d walk away from a real estate deal  but that does nt translate to the presidency  trump plays with other s lives and money as if they were nothing more than tokens on a game board  he feels no pain  he has no true empathy for americans  he has no skin in the game other than his ego and desire for adoration and adulation  he has shown that he ll go to any length to get it  and if he does nt  he ll seek vengeance and destruction regardless of how many innocent people  including his supporters  get swept up in it as collateral damage  |  ANG
let s hope he moves on to the next topic to distract him like the size of his hands or the big big words that he knows  |  ANG
look a plane |  ANG
i invented fake   |  ANG
if this coarse venal little bully thinks he can intimidate iran  he ought to try reading their history  starting with cia shenanigans and putting the evil shah in power  it will take more than this chief twit to intimidate iran  and having complied with international accords  iran deserves a little respect  but not as long as the israeil lobby controls congress  |  ANG
trump is a pos  but he is right on this one  it was a bad deal  iran has not stopped their nuclear program  and they got a couple of billion usd to help facilitate it  breaking the agreement will neither hurt nor help iran s nuke ambitions  |  ANG
show your evidence  with all your information why are you here on fb  you had better contact the authorities  |  ANG
gary bailey its my opinion  that s all  and that should be good enough for you  |  ANG
and if iran has nt stopped  why not argue from a point of strength with the agreement in your favor  why cancel the agreement and cut all your leverage  because you re trump and you have no idea what you re doing  but you know that obama precipitated the agreement and you hate obama  |  ANG
scott smaistria you basically know better than the men who are doing the inspections and reinspections because your opinion beats out facts every time  |  ANG
you just made that up  |  ANG
scott smaistrla  iran has not stopped their nuclear program  is not an opinion  it s either a fact or a lie  if it s a fact  you should be able to provide evidence of it  |  ANG
ok  he should have said it is his worry that they have nt stopped  i have the same worry but any country could be doing the same underground  i remember way before the n korean publicity the problems the inspectors were having getting access to facilities and iran trying to further enrich uranium  it s a scary world we re one day someone crazy or with an itchy trigger finger is gon na cause a catastrophe  we need to tread carefully  and i m certain scrapping the deal is the wrong direction  |  ANG
what would we do if some foreign nation told us that it had decided to  negotiate  us into a reduced state of defense and that we had no choice  |  ANG
sure is nice nice that international treaties no longer have to be approved by the senate  that pesky constitution is best ignored  right  |  ANG
mr trump can not scrap this agreement  he can treat us citizens with contempt but needs to take more care with the rest of the world  |  ANG
what i need to know is what congress is going to do about this crazy  megalomaniac who is putting us all in great danger  |  ANG
unfortunately he has a massive following of people who are falling for the propaganda  die hard republicans who will back anyone being republican  i m neutral and have voted both ways but it is usually always democrat  but i do my studying  of history and of the candidate  he appealed to the massive christian population by suddenly becoming a christian himself despite his history  his language  his behavior   makes people a whole new aspect of  moving forward blindly  they do nt see that cliff  |  ANG
sadly  you are right |  ANG
scrapping the iran nuclear agreement only adds fuel to the fire from north korea  how could they expect our country to honor any negotiated nuclear agreement with them   |  ANG
when i said things against trump  it s good for their business or causes in that matter but nothing happened  i do nt count  so why not say great things about pr trump  you might say bad things to me for that  but who cares  |  ANG
comon guys what world are we living  trump is smarter than who we think he is  he perfectly understands how america  and modern capitalism works  do you think really the news media thinks your ideals  and progressive agendas are their primary concern  not  their priority is to find and air the hottest stories that fuel their business  |  ANG
and when i say these things i have zero agendas my self  and i m not a communist and i do nt advocate one specific nation  or anything  and i have a very strong beliefs on social justice and utopian democracy  but the reality is that those ideas are far from the present reality  am i wrong  you have to get to work the first thing in the morning is your priority whether to make money or to pursue what you think is the most important thing in that sense  we got some mental duplicity  we tend to justify our actions for it advances our interest  let s wake up  or am i the only one waking up to the true reality  |  ANG
look i used to look at this world more rosily  always trying to pursue good causes  while i was in the middle school   from that on  i used to give away so much money though it was nt my money i earned  but were allowances from my family  believing those fine causes  also in good faith that what goes around comes around  whenever i did such things  my parents would tell me that i m being so naive and detached from our reality  that it s a constant survival and competition game that we re living in  i know you believe good causes  most journalists believe in good causes including social justice and happy world  but most likely not at the expense of their own benefits  |  ANG
iran is compliant with the current agreement  |  ANG
he has no understanding of the agreement  period  |  ANG
and you do  |  ANG
apparently  more than donwad  |  ANG
iran would like to change trump s behavior  is that possible  |  ANG
stir the pot  that s what he does  first president to troll nations |  ANG
😡 everything he does is heading us toward dire consequences in the us and internationally  😡 |  ANG
that s where the moron may come in |  ANG
the trump administration needs to change its behaviour alright  scrap trump  |  ANG
that trump is out of his mind  |  ANG
trump could nt care less for iran  bet he could nt find it on a map  no  this  too  is about obama |  ANG
if trump is do good at  the art of the deal  why have his companies filed for bankruptcy 4 times  |  ANG
oh yah  don is the man  he can change the world  have some friggien faith |  ANG
the only thing wrong is cheeto brain |  ANG
never should have been a deal in the first place  |  ANG
ignorant |  ANG
keith bryson  you are correct  it was an ignorant statement  i meant it for another post and clicked the wrong spot  did not check where i posted  just moved on  my fault  that’s what i get for moving too quick  and not double checking  |  ANG
most of us already know this  trump is the one who needs to read  oh  who am i kidding  🤨 |  ANG
he only wants to renegotiate it so he can put his name on it and scratch out obama s  |  ANG
nukes do nt kill people  people kill people  |  ANG
could you please leave his name out of the news |  ANG
go ahead and the rest of the world will laugh |  ANG
the man is a goddamn  bonafide idiot  |  ANG
we did not know this was going to happen |  ANG
iran has even said they aren’t sticking with the deal and will do whatever they want  |  ANG
peace and positivity for our nation s leadership  |  ANG
oops  change iran s behavior  white house needs to take a real look and review its behavior  |  ANG
iran is the leading sponsor of terrorism   lets do what obozo did   n o t h i n |  ANG
ignorant |  ANG
could we send in somebody competent  please   pkease    |  ANG
are you thinking kushner   sarcasm  |  ANG
my sense of humor could nt field that and laugh  sorry  it s just so likely  |  ANG
if all of the other signers do not follow trump it will mean nothing and trump weakens the usas position  |  ANG
go ahead and the whole world stops doing business with america  |  ANG
what an idiot  there are 5 other countries that signed  smfh |  ANG
those are nt cameras  they re microscopes  |  ANG
they can’t find them  it might be that your mouth is holding them for safe keeping  |  ANG
trump playing with your kids and grandkids lives  he is a moron  |  ANG
its settled for now  why the hezz would you want to pay to rebuild two more countries  just nuts  |  ANG
